s24:8ed26e037bfbfea4207d3af7da7323de 	 not-identity_attack 	 Oletko mahdollisesti homoseksuaali? 	 0.42860570549964905
s24:7ed83705305139484781fecf27b4870c 	 identity_attack 	 Toivottavasti hallitus leikkaisi niin että tuntuu!  Sääli on sairautta,niin kuin homouskin!  Antaa tulla vaan, lunta tupaan ja jäitä porstuaan!! 	 0.8072978854179382
s24:3fed4675f2c8fe05a68e52cac0847a11 	 identity_attack 	 "Onko tämä ""sheriffi Husu Husseini"" myös heikkolahjainen somalielukka ???????" 	 0.0012347319861873984
s24:311185f30324e20b5865d2ca53fd45b1 	 identity_attack 	 Uskovaiset ovat kylmiä ja sieluttomia viha zombeja! 	 0.13313697278499603
s24:cb6f0d8e3052516382b7c6172c384527 	 not-identity_attack 	 Kaikelle on aikansa. Nuorempana Nygårdillekin. ÄO on natsirikollisen tasolla ja nykyisin palvelen vain maailmaan ja aivan helvetin typeriin, tekopyhiin ja kaksinaismoralistisiin ihmisiin kyllästyneenä Herraani Saatanaa. 	 0.022283921018242836
s24:810e07f5b6d71eb64757bdaaef603818 	 not-identity_attack 	 Äly hoi. Eivät kaikki 15-60 vuotiaat miehet halua sotia. Sinä siis kannatat, että kaikki tuon ikäiset miehet pitäisi teloittaa varmuuden vuoksi. Natsi. 	 0.9888417720794678
s24:810e07f5b6d71eb64757bdaaef603818 	 not-identity_attack 	 Äly hoi. Eivät kaikki 15-60 vuotiaat miehet halua sotia. Sinä siis kannatat, että kaikki tuon ikäiset miehet pitäisi teloittaa varmuuden vuoksi. Natsi. 	 0.9888417720794678
s24:b4341b9f2ff1ac90c8153596296bfe7b 	 not-identity_attack 	 KYLLÄ GNLD ON PYRAMIDI HOMMELIA ,ELI PYRAMIDI HUIJAUSTA.HYVIN OOTT ONNISTUNU IHMISIÄ LYPSÄMÄÄN VAI OLIKO SE HUIJAAMAAN .VOIHAN SE OLLA LAILLISTA MUTTA ENEMPI SE ON HARMAATA TALOUTTA TUO GNLD PELLEILY SÄÄLITTÄVÄ ESITYS EI MUUTA VAI TYPERÄ KESKUSTELU SUURIN OSA ON ASIAA ESIM P 51 MUSTANG PUHUU ASIAA SAMOIN TUNTEMATON SOTILAS JOTTA,,, 	 0.10881603509187698
s24:394d21aab89ebebf6d4868634594718f 	 identity_attack 	 Imbesilli!  Ei ryssillä ole enää RAHAA vaikka pakotteet poistettaisiinkin.  Putinin uhopolitiikka ja alhainen öljyn hinta ovat ajaneet Ruplan vessapaperiksi ja kansan köyhäksi. Ei niillä eväillä mitään shoppailla. 	 0.9969314336776733
s24:568ba32ee40c61e75c4ab71cb2a9ab3e 	 identity_attack 	 HOMO VALEHTELIJA 	 0.9434463381767273
s24:f714e89ced0743a646da95d716e695bd 	 not-identity_attack 	 Mitenkä sitten pitäis suhtautua yli kolmikymppiseen mieheen joka on vielä neitsyt ja odottanut sitä oikeaa? Hieman hirvittää että tuleeko tuosta koskaan mitään... Opettajaksi musta ei ole. 	 0.00023309073003474623
s24:1f83a4e343087244801febc81c6000d9 	 not-identity_attack 	 Hankit tyttöystävän. Eiköhän sitten se homoks haukkuminen lopu...jos oot oikeesti homo, niin sitten voit vaikka esittää että sulla on tyttöystävä, jotta ne kaverit jättää rauhaan. 	 0.9953299760818481
s24:024b1e7f4c31d5751ac8548878a45011 	 identity_attack 	 HAI! KAIKKIEN SIIPEILIJÖIDEN ÄITI TÄÄLLÄ !  Hai ! olen homo toivo turusta http://kukkahattutat/REDACTED/skasi-ankan/  Kyllä tuli yö ja aamu jälleen pitkäksi kun venttasin Lapin Laten aloituksia, NYT ALKAA KUITENKIN ORGASMIT KILAHTELEMAAN, KUN PÄÄSEN LATELLE RÄKSYTTÄMÄÄN!  Olen mustaturpa toivo turusta, alias iisakki inarista. elämäntehtäväkseni olen valinnut Lapin Laten aloitusten kyttäämisen ja feikkaamisen, se jobi viekin minulta 24 tuntia vuorokaudessa, viikosta viikkoon ja vuodesta toiseen! Voin silti toisinaan mustemman veljeni tuuratessa minua käydä turkissa helsaamassa sukulaisiani ja setäni ankkoja, niiltä saan ilmaista sexiäkin halutessani, setäni tosin ei oikein hyväksy sextailujani ankkatarhassaan! Lapin Latelle olen katkera koska hän vei vaimoni 1980 luvulla! ja möi senkin manneille! Jouluksi lähden jälleen turkkiin huppailemaan!  Ongelmani on somaaleille tyypillinen suuripäisyys! Harvinaisen isopää se on minullakin, ja kun äiskäni ei saanut minua revastaan ulos synnytyksessään, riensi enoni joka oli jonkinlainen maaseppä apuun synnytykseeni! Eno veti minut somalian mustaan viidakkoon jonkinlaisilla pajapihdeillä, siinä touhussa sain vakavat vammat kallooni, jotka eivät parane koskaan, eli olen lopun ikääni täysi vajakki! Ja on minulla rupinen kuppakin! uskotteko että vitu ttaa tämä ainainen vajakkina olo ??? Alla oma kuvani!  toivo raiskaa http://www.mitavittu/REDACTED/ton-muistoa/  http://4.bp.blogspot/REDACTED/pio%2529.jpg  Eiköstä jää stubelokin jo kakkoseksi?  Tässä istun tietsikan edessä! feikkaillen Lapin Latea ja Latelle räksytellen!  http://www.funny-games.biz/images/pictures/1835-fat-ass.jpg  Huomioikaa tiineet munani! Alla iskäni!  http://kuvaton.com/k/yyGx.jpg 	 0.9783347249031067
s24:8809b4681d9379093e9e85ffe95fc5f6 	 identity_attack 	 hullu hintti ei ooo vieläkään saanut pillua....  haahhhaaaaaaaaaaaaaaaaaaaaaaaa 	 0.5508444905281067
s24:05df97d402701d08d42119c5ef532786 	 identity_attack 	 Homot tehkää volttia!!Sairas valtionkirkko liittyy seuraavana pörssiin ja pääsee ostamaan pornoteollisuuden osakkeita!!Hah hah hah haa!!!!!!!!Mitä tälläistä paska kirkkoa suojellaan?Kysyn vaan. 	 0.25666543841362
s24:d8e5957d3fa361f22ba6f175d6574809 	 identity_attack 	 Tai sit uskiksilla on liha vaan niin saatanan heikko, että sekoavat kiimasta heti kun näkevät vähän lajitoverinsa paljasta pintaa.  Meillä uskonnottomilla on sentään itsehillintää. 	 0.13343927264213562
s24:ff86a5e9a22cb241471fce393ba9eeb9 	 identity_attack 	 Täynnä se omaan hanuriis homo. 	 0.9307608604431152
s24:d41d006130a75c85bf5b9ce21ae11a7e 	 not-identity_attack 	 Olen ylpeä lutka!  Sellaiseksihan täällä minua kutsuttaisiin kun kerron teille että matkustan useita kertoja vuodessa ulkomaille niin työ- kun lomamatkoillakin. Siellä harrastan kuumaa seksiä ulkomaalaisten miesten kanssa. Minulla on lisäksi Suomessa mies, jonka kanssa olemme vakipanosuhteessa ja harrastamme myös kimppoja. Seksistä pitää nauttia. Repikää siitä nyhveröt! :) 	 0.02448616921901703
s24:c1803242d5932a9647edd182f7ebb6a8 	 identity_attack 	 Somalinaiset ovat viimeistään teini-iän jälkeen sen näköisiä, että on aivan sama millainen heidän alapäänsä on. 	 0.6578762531280518
s24:e11dcb87d21399fa4e18e07a133a754d 	 not-identity_attack 	 no miksei sinulla ole munaa linkittää sitä aijaan kautta nähtäville?  vitun pedofiili. 	 0.13238602876663208
s24:ddd6d5c3b4666215de0417a9fb9bfcf1 	 identity_attack 	 Onhan kaikki matut homoja ainakin kun saavat kielteisen päätöksen. 	 0.8742803335189819
