s24:aec361df24cc3d9f31bce7bf28dc2b0e 	 not-insult 	 "Mikä on ""säännöllistä"" käyttöä?" 	 0.0002660074969753623
s24:35ff2fd940d434c9a19e6b0dd87a73a5 	 not-insult 	 Valumavedet voidaan ohjata rakennuksesta pois riittävän tiiviillä pintamaalla, jolloin anturan alapuolisen eristeen lisäksi riittää anturan ja perusmuurin ulkopinnan eristäminen. Muovit ei kestä maan sisässä niin pitkään kuin muulla rakennuksella on mahdollisuus kestää.  Riittävän leveä routaeriste anturan alla estää maalämmön karkaamisen, jolloin maa pysyy sulana eikä roudi. Kyse ei ole siis siitä, että kylmä menisi ulkoilmasta maahaan vaan siitä, että pidetään maassa oleva lämpö siellä.  Sinänsähän kaikki pihan kulkutiet, oleskelualueet ja pysäköintitilat talon vieressä ja muuallakin on hyvä routaeristää, ettei routa muljaa niitä, etenkin jos on laatoituksia. Ne routaeristykset ei kuitenkaan liity talon rakenteiden suojaamiseen roudalta 	 0.0002649732632562518
s24:470b96330627e5f0b0be9bf98f981639 	 not-insult 	 San Andreas pulma  Statseis lukee progress with Michelle.. Kuka on tämä Michelle? Oon menny pelin läpi mut en oo ikinä tätä muijaa nähny... tiedän että sillä on autoliike San Fierrossa eikä sinne pääse ineen.. 	 0.0015368112362921238
s24:628064fa135f55037c15acbc24dfc8b0 	 not-insult 	 "Mä en ainakaan sanoisi suoraan, en ainakaan jos en vielä tunne ihmisiä kunnolla. Muuten saa vaan selän takana puhumista ""onko se maho lehmä vai mies tuhkamuna"". Ihmiset eivät ymmärrä lapsettomuutta jos eivät ole kokeneet. Heidän mielestä lapsi tulee kun vaan panee tarpeeksi paljon! En tiedä millaisessa (+ kuinka korkeasti koulutettujen kanssa) työpaikassa olet... koska sekin vaikuttaa. Etenkin miesten ja nuorten ja huonosti kolutettujen on joskus vaikea ymmärtää näitä asioita (en yleistä, sori jos joku ottaa nokkiinsa).  Mä sanon vain että mulla on terveydellisiä ongelmia joista en halua puhua ja joita tutkitaan sairaalassa jolloin kukaan ei kysele yleensä enempää. Ja eipä niitä tutkimuksia nyt niin hirveän paljoa ole! Ja aiemmin jouduin virtsarakkoongelmieni vuoksi ravaamaan lääkärillä ja veihän sekin työaikaa. Monilla on jopa syöpä ja käyvät silti töissä." 	 0.02323835901916027
s24:52222a00d9a46dac43d18b26514f5fc5 	 insult 	 Et kai itsekään usko tohon soopaan. Sehän on ihan tiedetty juttu, että ääri-lestadiolaiset ovat erittäin narsisteja ja rakastavat vain itseänsä. Tiedät sen itsekkin. Miksi huijaat itseäsi? 	 0.05321598798036575
s24:bc7e1aa5857dd863820cc2f39fd26a10 	 not-insult 	 ,F-segure on sen nimennyt uudelleen,jolloin se on sinäällän jo tehty vaarattomaksi. 	 0.0008047558949328959
s24:1bff546e88e41da848d1a9431fb545bb 	 not-insult 	 Onko Jeesus Jumala?  εν αρχη ην ο λογος και ο λογος ην προς τον θεον και θεος ην ο λογος  En: jossakin, eng. in arkhee: alussa een: oli ho: nominatiivi Logos: Sana kai: ja pros: kanssa, luona, tykönä, ton: akkusatiivi Theon: Jumala  Jakeen lopussa Theos toimii predikatiivina, eli se kuvaa subjektin (tekijää ilmaiseva) eli logosin substanssia (olemusta). Predikatiivi määrittää subjektin olemuksen. Esim: Kalle on mies (substanttiivi) Kalle on väsynyt (adjektiivi)  Eli siis mitä Jumala on sitä myös Logos (Sana). Artikkelin puuttuminen sanan Theos(Jumala) edestäkorostaa ettei Logos ja Theos ole identtisiä. Eli Jumala on aina Sana, mutta sana ei ole aina Jumala.  Jeesus Kristus oli tosi Jumala (1. Joh. 5:20). 	 0.0002596887934487313
s24:7c2a0173fc0f5b7e1fcf8be99645f5a2 	 insult 	 Samalla sivulla luki että on 26.1 avattu 2 rinnettä... oottekos käynyt näön tarkastuksessa koska viimeksi?? 	 0.00025945567176677287
s24:0f788ca0e2fdf55b6277f54b63ec7c1f 	 not-insult 	 Häiriköintiä.  Niin, häiritsevien tekstiviestien lähettäminen on nyt rangaistava teko . Tänään Sunnuntaina 01. 11. -09. voimaan astuneen lakimuutoksen myötä kotirauhan rikkomiseen voi syyllistyä lähettämällä häiritseviä teksti- ja / tai kuvaviestejä. 	 0.0002936907403636724
s24:fecba48ad3fd6ede1fe7fe77f287a6b1 	 not-insult 	 mutta piisissä olisi aineksia jopa menestykseen mutta ainakin kunniakkaaseen edustukseen. 	 0.00026407616678625345
s24:472ee93c8f5a1f887414548a3ead48e4 	 not-insult 	 No koska teillä on yhteisiä tunteja, voit aina vaihtaa pari sanaa silloin. Jonkun tunnin jälkeen pyydät häntä jonkun kaveriporukan kanssa jonnekkin, missä voit tutustua häneen paremmin ja lämmitellä häntä siinä samalla. Sitten pyydät häntä kahdenkeskeisille treffeille, jossa voit kertoa tunteistasi hänelle. 	 0.0009155391599051654
s24:55cc0ce1c98c24c4cff0555b47357306 	 not-insult 	 Kun tuo Sana on ristiriitaista ja liian julmaa monessa kohtaa Raamatussa niin ihminen on koko historiansa ajan joutunut sitä tulkitsemaan todellisuutta vastaavaavammaksi, inhimillisemmäksi ja loogisemmaksi. Ei siinä mistään vihasta ole kyse. 	 0.0005012992187403142
s24:1479a1a9498c482662db00876cdeca4b 	 not-insult 	 ...Saksa olisi lopulta hävinnyt sodan, mainitsemastasi syystä (kahden rintaman sodan vuoksi), mutta Neuvostoliitto tuskin olisi kyennyt vapauttamaan edes omaa aluettaan ilman saamaansa massiivista USA:n apua. Näinhän professori Saarialhokin toteaa tuossa hyvässä esityksessään, jonka laitoin historian saitille ja johon on linkki täälläkin.  Ja niin ei olisi syntynyt mitään itäblokkia, eli Neuvostoliitto olisi jäänyt ilman satelliittejaan, kun nuo maat olisivat pelastuneet demokratialle, kuten pelastuivat länsiliittoutuneiden vapauttamat maat. Siinä mielessä tuo USA:n apu NL:lle oli turmiollista. Mutta onneksi kaikki on nyt toisin - siitäkin suurin kiitos USA:n!  Tuolla historian saitilla joku kyseenalaistaa Saarialhon esityksen luotettavuuden. Vastasin hänelle näin:  http://keskustelu.su/REDACTED/000021290001 	 0.0002582993183750659
s24:e7b51c82374f62592c7e3930b8826b5f 	 not-insult 	 Kuparipannu suljettu? No en ihmettele että menee paikka kiinni noilla hinnoilla. Olutkin on kuulemma jotain 3-4 kertaa kalliimpaa kuin muissa paikoissa, entä sitten ruoka? Kaalikääryleelle (1 kpl) tulee kuulemma hintaa 14,00 euroa, huh huh!  Me emme ole siellä käyneet koska suosimme paikallisia ravintoloita jotta rahat jäävät paikallisille yrittäjille ja työntekijöille.  He tekevät töitä ympäri vuoden kun keväällä/kesällä/syksyllä suomalaiset lomailevat. Me emme ala rahoittamaan kenenkään lomailua. 	 0.0005890437751077116
s24:619d10fa1ccb69be8f46fab29b8e958c 	 not-insult 	 Ainakin viimeksi kun siellä kävin niin kyllä siellä ainakin asiakkaita kävi... 	 0.0002640159800648689
s24:1cb052be5e5476437ccb18512c8885cd 	 not-insult 	 korotuksia kiristetään on törkeä. Syyttömät lapset otetaan pelinappuloiksi. Eivät ansaitse Tehyläiset korotusta. 	 0.03994441777467728
s24:febdfb067557ddddef9df641863f3c6c 	 not-insult 	 Minäkin olen asioinut usein Jumalniemen Sotkassa, josta olen saanut AINA hyvää ja asiantuntevaa palvelua. Jatkakaa henkilökunta samaan malliin! Näistä asiattomista kritiikeistä huolimatta hyvää kevättä teille! 	 0.0002576128754299134
s24:0bf89097dbb9cf81e3c79dd954b226c1 	 insult 	 "Onhan se ""390€"" ""hallitus agentti ""  Eikö sullä hoperollä muuta ole elämässäsi." 	 0.0034413302782922983
