s24:41041590064a0ef9fb3b0b8ac7438172 	 insult 	 Metsä vastaa niin kuin sinne huudetaan sukurutsari. Sitä saa mitä tilaa tolvana. 	 0.24135436117649078
s24:af5533dd54d6385a1d3dbe1f7bdd5ff2 	 insult 	 "Taiteilija Lipsanen on aina ollut pikkulikkoja metsästävä Sika. 	 0.2996332347393036
s24:ebce58344bdb4750d8a0c68fdd5a401e 	 not-insult 	 "Kuulepas nimimerkki ""rasismi.."", olen maininnut sinulle aiemminkin tästä, mutta mainitsen taas:  Kuka sinua kieltää keskustelemasta, äitisikö? Äitiä voi olla syytä totella, mutta jos olet jo 18 täyttänyt, voit kyllä ihan itse päättää keskusteletko vai et.  Miten tuo ajatuskulku siis menee? Yritykset palkkaavat ulkomailta ihmisiä, ja sitten veronmaksajat maksavat heidän kulunsa. Tuo vaihtoehto kuulostaa tosi houkuttelevalta. Kerropa millä tavoin se onnistuisi...  Mitä yleensä tapahtuu ihmisille joilla ei ole töitä? Joutuvat työttömiksi, tietysti. Sellaistahan se elämä on. Ei sitä autonpolttaminen muuksi muuta." 	 0.22717687487602234
s24:d430ceefcdd4d8807580a99d34ac1c43 	 not-insult 	 mieheen joka oli todella nuuka. Mihinkään ei voinut mennä koska se maksaa. Olisin siis itse maksanut omat menoni, mutta mies ei voinut lähteä mukaan, koska se maksaa. Mitään ei harrastanut paitsi lenkkeilyä isänsä vanhoilla lenkkareilla. Mitään ei ikinä ostanut, kirjoja, levyjä. Ruuankin suhteen oli nuuka ja siksi laiha kuin kukkakeppi. Valojakaan ei kesäaikaan saanut laittaa päälle. Kuitenkin vakituisessa työssä oleva mies. Hän myös valitti jos minä ostin OMILLA RAHOILLANI ITSELLENI jotain, että miten kehtaat tuhlata tuommoiseen. 	 0.24132972955703735
s24:fa187eff9244abd997e2a68bb10dbd0b 	 not-insult 	 Vieläkö joku paskiainen uskoo Helsinkiin  työttömyysaste paukkuu liki 20 %. 	 0.263395220041275
s24:7e78a4c675daf8c27c4b84ff4d793141 	 not-insult 	 joo haluu olla rutiköyhä vaan ettei tarvii maksaa kaikkea ite. aika hölmöä. 	 0.2409341186285019
s24:ec41203ee2fa40b8794c9db68ef38b5f 	 not-insult 	 Saako sokea ajaa  http://www.iltalehti.fi/uutiset/200708136458634_uu.shtml Iltalehti.fi | Uutiset | 13.08.2007 | Sokea humalikko autoili taas Tartossa 	 0.22298096120357513
s24:8db3ab99b1435bee3b9db0940c0f7d3a 	 insult 	 viestilläsi papukaijamaisuutesi. Matkija olet, et itsenäinen ajattelija. 	 0.23407569527626038
s24:3341efa7c197bfcbea79a084fa3ce1ea 	 not-insult 	 En huoli naista joka suostu täyttämään kaikkia villeimpiäkin seksifantasioitani ja perversioitani. 	 0.2028111070394516
s24:d5e3627163f4ae797468b0239fb3e7d8 	 not-insult 	 Ja pysyt ATM:nä, jos pysyt kotona aina 	 0.212018683552742
s24:43e6db902b9ad5f9c8b9b2814c9f504a 	 not-insult 	 HEI! Soinille ei ehkä löydy seuraajaa  kerrotaan nyt jossain,JUMA-LAUTA TÄSTÄ NYT PUHUTAAN TÄÄLLÄ.  Eihän meillä persaukisilla ole muuta tekemistä,kun ei ole liksaa mennä baariin.  JUMA-LAUTA TÄSTÄ PUHUTAAN TÄÄ ILTA. 	 0.21436816453933716
s24:aa8e4e626a1ac1814a31642aeebe6d40 	 not-insult 	 Luultavasti joku niistä 3:sta treffimiehestä ähkii neidin päällä. 	 0.282384991645813
s24:7a014978090121dfd52b09705696db45 	 not-insult 	 Vai ei yksi voi.....  Yksi ihminen pystyy vaikuttamaan tasan tarkkaan jos hän ryhtyy toimeen. Perseennuolija ei pysty vaikuttamaan. Vaikuttamaan voi ihan tavis jonka ei tarvitse nuolla ketään. EU on todennäköisesti paikka joka turvaa oikeutemme. Suomi on virkamiesten hallussa joten täältä on turha hakea oikeutta. Uusin tapaus on laittomat kuntaliitokset ja -uudistus jonka EU tulee hylkäämään laittomana. 	 0.215033620595932
s24:d447f5852fb951d2871f00b7fe96d9ec 	 insult 	 Tämä viestiketju vahvistaa käsitykseni tupakoitsijoiden ääliömäisyydestä. Mahtaa olla teille korsteeneille kova paikka kun kuppilat tulevat 1.7.2007 savuttomiksi!  Poltelkaa nyt niillä parvekkeillanne posket lommolla. Minä ryhdyn käyttämään parvekettani turskan kuivaamiseen. 	 0.2703760862350464
s24:9b90754843b589e263208fdeb55a0d28 	 not-insult 	 tasoristeysonnettomuuksista luultavasti suurin osa on ihan autoilijan omasta tyhmyydestä kiinni, eli EI katsota tuleeko junaa (ei tullut eilenkään tähän aikaan) tai KOUKATAAN puomien välistä (vielä kerkeää v*tun hidastuspuomit). 	 0.21230705082416534
