s24:5d03d1de7a7ccf2bc664caa765f016d3 	 insult 	 Jobbari on muuten yksityinen kauppias ilman y tunnusta eli kusettaja eli taas ja taas YKSITYINEN. 	 0.8633341789245605
s24:eada44536fead2a3661cdfbd5efe4747 	 insult 	 Ai se on sun mielestä shaibaa kun poliisi menee ja hakkaa tajutonta? Olkoon ihan mikä vaan venkula, mutta tajutonta EI IKINÄ mennä lyömään. Eikö sen nyt ihan miehen peruskunniakin sano, että kun vastustaja tappelussa tippuu, se väkivalta loppuu just silloin? Tippunut ei ole vaarallinen, siltä on jo taju pois. Kerran saat tappelussa iskeä tauluun ja sen pitää riittää, kun se tippuu, matsi päättyy siihen kun se kaveri ottaa lukua.  Se on nyrkkinujakoissa ihan kahden miehen välinen kunniajuttu, että tippunut/sammunut jätetään rauhaan ja munille ei potkita.  Nytkö SUN mielestä poliisi saa mennä lyömään virkamerkin suojalla sitä tajutonta humalaista? Näinkö on asiallista SUN mielestäs toimia? Saatanan sairas poliisinpalvoja nilkki!  Paina nyt kalloos se, että sammunut/tippunut on suojattu kunniasäännöllä. Edes poliisi ei saa mennä lyömään miestä josta ei ole enää vastukseksi. 	 0.2549953758716583
s24:1031c91beb313e53ceab81b41735159a 	 insult 	 pellee ei haittaa palstan muutokset.Enempi vain raukka spämmii.. 	 0.48308828473091125
s24:7305ff744dc3f73a95d08c5f3650180b 	 insult 	 aina.  Älä ikinä luota ryssään.  Äläkä rysssänkätyriin: katso Johan Bäckmanin rumaa naamaa. Ostaisitko käytetyn auton sen näköiseltä tyypiltä? 	 0.02206261456012726
s24:090f6c05a4db851b079e0f3a9cb78480 	 insult 	 Kuule angel, wanker sanoo varmasti noin vain saadakseen hieman huomiota ja sääliä. Kaksi vuotta sitten wanker oli aivan erilainen, niin hauskaa hänellä aina oli. Mikä mukamas olisi voinut saada hänet ajattelemaan tosissaan itsemurhaa? Miksi oikeastaan edes tappaisit itsesi keisarin takia? Oletko koskaan tavannut hänet? Mielestäni keisari wanker on melko säälittävä tapaus rehellisesti sanottuna!!!! 	 0.42377784848213196
s24:67d1dada81d6b55aad43bfec8828dbf1 	 not-insult 	 Jopas olet herkkähipiäinen. Minun itsetuntoni kestää kyllä Jukat ja Pirkat ja muutkin karikatyyrit suomalaisista. Lähinnä vaan huvittavat. En myöskään pidä norjalaisia niin tyhminä että luulisivat joka ikisen suomalaisen olevan jonkun tyypitetyn hahmon kaltainen. Sehän on todellakin vain fiktiota. Uskotko itse että kaikki mitä tuutista tulee on totisinta totta? 	 0.21367892622947693
s24:7073010a29996d51e2ade8372691a6e0 	 insult 	 Itsekeskeinen äijän käppyrä Kaki  ilman äänestystä. 	 0.0024562692269682884
s24:f633c3a85626d30287ecddc25671c0f3 	 not-insult 	 Kirjoitan sinulle paskaa niskaan saanut. Et ole ainoa. Minä olen kokenut aivan samaa. Sitten kun asia tuli julki, niin minua syytettiin että sä et tule toimeen jne jne jne. Aivan uskomattomia ukkojen juoruja niitä sai kuulla. Selvittämättä jäi. Luulenpa juoru-ukot ovat vielä melkoisessa omantunnoin tuskissa perättömien juttujen levittämistä, vaikka luulenkin ettei heillä ole mitään omaatuntoakaan. Minun päälle kaadettiin koko talon likaviemäri. (Ompahan nyt kupla puhjennut kun löydettiin silmätikku) 	 0.15531562268733978
s24:32e0e0d63807103dc013ae4ca23c4033 	 not-insult 	 ITELLÄKI ON TULLU MONTA KERTAA KUSET HOUSUUN KOULUSSA.ITE RATKASIN ONGELMAN LAITTAMALLA PAPERIA HOUSUUN TARPEEKSI PALJON, ETTEI TUU LÄPI. Oon poika eikä paperin housuun laittaminen noloo. Kokeilkaa itse. 	 0.2576964199542999
s24:da5a13ef5c885a490993baa02ede0f58 	 not-insult 	 paf kusettaa rahat. 	 0.9307425022125244
s24:22f085622ca4dc1cdc9d98a9f76807ca 	 insult 	 olekaan viimeinen, senkin pässi. Se on pian ENSIMMÄINEN ihmisten syntien tähden. Saastunut ihminen kuolee kohta pois ja tilalle kehittyy jokin puhdas alkueläin. Tähän eläimeen Jumalakin voi luottaa. 	 0.6818684935569763
s24:49622b1554cb6b9c1f7d13a1c49114ef 	 not-insult 	 Onko pettäminen sallittua ?  Saanko työntää kikkelini vieraan naisen pimppiin....onko sallittua ? 	 0.8044989109039307
s24:80df545bc1ddb595967bf80414fd3b14 	 insult 	 Väität, että saat Yksityisten alojen työttömyyskassasta samat edut, kuin ammattiliitosta. Väitteesi ei pidä alkuunkaan paikkaansa. Ensinnäkään Yksityisten alojen työttömyyskassa ei ole mikään liitto, vaan pelkästään työttömyyskorvauksen maksaja minimipalvelulla. Edunvalvontaasi liittyviä palveluja sieltä et saa, koska sopimukset solmii ja työehtojen toteutumista valvoo alan ammattiliitto. Ammattiliitoilta saat myös asiamies- ja lakimiespalveluja. Todennäköisesti olet joku tietoisesti provosoija, mutta jos olet todella noin tyhmä, niin sinua ja sinunlaisiasi työnantajat kusettavat pahimmin. Sellaista on helppo kusettaa, joka luulee tietävänsä kaiken, mutta itseasiassa ei tiedä juuri mitään. Tyhmyyttäsi ja tietämättömyyttäsi osoittaa myös se, että kuvittelet asian olevan sillä selvä, että TES: si on luettavanasi. TES:sien tulkinta on aivan oma lajinsa ja yhdellä tulkinnalla saattaa tulla kerralla koko vuoden liiton jäsenmaksua vastaava rahamäärä työntekijälle. Mitä siihen sinun hulluuteesi tulee, niin se sinun täytyy selvittää jossakin yhteiskunnan ylläpitämässä laitoksessa. Siinä edes ammattiliitto ei sinua voi auttaa. Ammattiliitot tosin edistävät kyseisten laitosten toimintaa sillä, että ne ulosmittaavat ahneelta kansainväliseltä pääomalta verotuloja, joilla rahoitetaan mm. kyseisten laitosten toimintaa. En ota tässä kantaa sinun luettelemiisi genitaalitermeihin. Pyydä selvittämään siellä hoitolaitoksessa, miksi ne kuuluvat niin viljalti sinun sanavarastoosi. 	 0.4067239761352539
s24:627f539ad6cdff56812d6946fd896a64 	 not-insult 	 Puutarhurin vihollisia, noita inhottavia lehtokotiloita, kuuluu olevan jo paljon liikkeellä. Näkisipä joskus jonkun naisen liiskaavan niitä kumppareillaan. Tiedän, että niin tapahtuu paljon, mutta puutarhan naiset eivät taida lukea näitä juttuja. 	 0.05649228394031525
s24:c32d0a966f8e172c9648d42c7c7fa650 	 insult 	 Siksi kun nyt on rauha ja teikäkäläiset on sodassa meitä vastaan. Olette siis selkäänpuukottajia! 	 0.7033500075340271
s24:43052d12a3ee878608bba7df5d96dac7 	 not-insult 	 Kyllä siä lujaa suomikaunotarmiehiä naitii. Jollakin ylimääränern kruunu ja joku sen tarvitte. Käytännössä kai Slussenilla asuva maahanmuuttajasuomalaismies. 	 0.3275376856327057
s24:02075a1cc3c2d05369d061b4f5bae725 	 insult 	 somalille on kuin rahaa heittäisi kaivoon. 	 0.0008130051428452134
s24:63466d9361db328aa959a783c18863a4 	 not-insult 	 Runkkaan sinua puhelimen välityksellä  tyydytän sinut ja runkaan saat alle aikayksikön orgasmin ennekuin huomaatkaan. Soita.0700-979488 	 0.9741281270980835
s24:040773821d9c4740c55a58a11ecf7cd5 	 not-insult 	 Persut ovat lahjoittamassa venäjämielisenä puolueena Suomen itsenäisyyden venäjälle, mutta onneksi enemmistö meitä isänmaan ystäviä on persujen venäjäkytköstä vastaan. Hävetkää persut... 	 0.9383547306060791
s24:b128ebe7a83070d0cf3d0d4e8ffe7e37 	 not-insult 	 minikit ongelmia  mul on lego batman 2 mult puuttuu enää yks ainoo minikit se on tasos jos pitää tuhota se ihme jokerirobotti detector näyttää et se minikit olis jossai puistossa puun päällä voisko joku auttaa 	 0.00038577188388444483
s24:027949bb2eb7da2066773e17db67bbce 	 not-insult 	 Jakuzi näytti  Tepolle närhen munat. 	 0.5665400624275208
s24:522bc8f1c5ebd454b9814b1fc7155e12 	 not-insult 	 Suuttumus julkisuudesta naurattaa. Saisivat olla tyytyväisiä. Ilman julkisuuttaa koko huutokauppakamari olisi konkassa. Lihava muija saattaa pian huomata, että ketään ei kiinnosta ja sitten ei enää tarvitse itkeä verojen julkisuuttaa.  Timo T.A Mikkonen oli suuri mediapersoona. Suurempi kuin Palsanmäet yhteensä. Ei parane ryhtyä ylpeäksi, vaikka naama on telkkarissa. 	 0.003260824829339981
s24:0e8fe96c75e89bde68dcdd6daa2d12ce 	 insult 	 Ei tällä tyylillä mitään tapahdu eikä asioille mitään voi. Raiskaaja Apinat pitäisi saada pois . Omissakin asioissa taitaisi ns. Isän maassa olla Herran kutatleilla hoidettavaa. Karsia omia turhia menoja. Ei vaan taida omanedun tavoittelulta ennättää hoitamaan mitään asiallista asiaa Kyllä pyllistellää EU lle ym tahoille ja puhutaan potaskkaa ( siis Paskaaa. 	 0.7829811573028564
s24:132dab91b5ae780dffe372245b9450b6 	 not-insult 	 Älä nyt koko ajan sitä Espanjan bloggaajaa muistuta siitä mitä hän on. Sehän pian tekee sustakin jutun ja väittää, että olet narkkari ja YLE:llä töissä, vaikka ei sinne päinkään :DDDDDDDDDDDDDDDDDDDDD 	 0.24748478829860687
s24:beb43897e879403a8cf7a1ecf0f423e0 	 not-insult 	 Tommi hmmm nimesi  Oli kiva nähdä taas, koska tulet seuraavan kerran? Ens kerralla vaadin muutakin, kuin suudelmia ja hyväilyä. Jätä jo se muijasi sinkkunainen sopii sulle paremmin. Ansaitset oman lapsen 😘 	 0.006939837243407965
s24:13c8a35f4544c08f5890e249828980eb 	 insult 	 Nimimerkistä huomaa että tykkäät murhaamisesta.  Mielummin yksi hengetön kapitalisti kuin 10 kuollutta ahkeraa duunaria. Tiedät varmaan ettei siivellä eläjiä tueta?  Jos markkinatalouden puolestapuhujat eivät näännyttäisi ihmisiä alipalkkauksella, niin maailma saattaisi olla rauhallisempi paikka – kaikille.  Sitä saa mitä tilaa. Äidinmaidosta tyhjäpäisyyden imenyt kokoomusjuntti tilaa jotain itselleen, vaikkei kannattaisi. 	 0.07842438668012619
s24:b4ed82e5ff0c7fadfb1f27a925888b9d 	 not-insult 	 sari puukottaa kakia naaman edessä.. 	 0.07241207361221313
