id	gold_labels	predicted_labels	text
s24:0d6c5224b593123cb524302dc1a3eb0e	['label_toxicity']	[]	Joko Haavisto ilmoitti erostaan?  Vaatiko myös yrmistelijä AKTIIVISTA KATUMISTA
s24:14e4c4aef412a9ecad8ae11f96d5dade	[]	[]	kyllä tuossa viestissäni sanoinkin..että niitä murheita tais olla mutta ..ei niitä jäänyt miettimään ..samalla tavalla kuin on tehnyt aikuisena ...liian paljon pähkäillään ja suretaan omaa surkeutta.
s24:2f9e17713a1fcc0fe5b229ac59e6da03	['label_toxicity']	[]	Terve ruumis ei työtä kaipaa ja kuka hullu itsensä työllä tappaa. Millon on nähty manneakaan pellolla kyykkimässä saati partamamua. Päivärahalla on mukava olla ja kun jaksaa sossupapereita täytellä kyllä tupakissa ja bensossa pysyy. Pitää tästä taas ruveta hakemusta sossun tytöille raapustelemaan kun pitäsi mersu käyvä tankkaamassa ja ostella joku sata litraa tuohon lynxiinkin menovettä. Ja eipä olisi pahitteeksi joku tupakkikartonkikaan vastasen varalle. Se on huono puoli, että kun tuolla sossulapulla ei pysty kaljaa ostamaan. Peraatteessa kun tuli tuohi poikkeuslaki niin sillä verukkeellahan sitä voisi kalja puolestaki puhua. Tuli taas niin hyvät ilimat, että pitäsi sitä köyhänkin saaha nauttia keväästä.
s24:7e81c3115e7d1c61a9a575530cbbd69c	['label_toxicity']	['label_insult', 'label_obscene', 'label_toxicity']	Ja appiukolle ja anopille haistatan paskat koska olen saanut ihmisarvoni takaisin ja tiedän nyt kuka olen. Liian kauan kuuntelin teidän läskien ja maalaisjunttien mielipiteitä. Vaikka teillä itsellä ei ole elämää ollenkaan. Ettekä ole mitään vaikka haluisitte raukat olla.
s24:85d0b2da7ebd440c081df5063ea04368	['label_toxicity']	['label_toxicity']	"""Koerien hankinta pitäs monelta kieltee. On se vuan niin! Tiijättehän valakonen roskaväki: paljon pentuja (ihmis), uusijoperreitä, korvaaksilla eletään, ulkomuanmatkat Tukholman-risteelyjä taekka Tallinnassa, joku pikkunen tae isompi tuomijjo, paljon """"mukavasti istuvia"""" asuja """"heleppo pukkeutuminen"""", """"tatskat"""", kultaketjut... ja saatanalliset koerat joeta ee oo koolutettu ja joijjenka kanssa viäntäävyttään joka paekkaan... ja pennut huutaa... valamisruokija syyvvään... tupakkiakin poltettaan... Feispuuk..."""
s24:f732f1a12dc0b9a8870f43737afa536b	['label_toxicity']	[]	Voi Tapio ressua!!  Tarvitsiko Jeesus parannuksen kastetta??Sinähän pilkkaat Jumalaa!  Jeesus antoi meille esimerkin Uuden liiton kasteesta.  Oliko Johanneksen kasteessa läsnä Isä, Poika ja Pyhä Henki???  Ajattelisit hieman, mitä kirjoitat.
s24:1174146eb252f3a7788ac849cbf3c6ea	[]	[]	matsda 6 vm 2006  auton sisään vuotaa vettä jostain takana lattialla ja edessö apukuskin puoli myls närkä mikähän voisi olla syy
s24:97d52e52849cf3c7b1574332a93bafde	['label_toxicity']	['label_toxicity']	On kova poika tyhjentämään toisten pankkitilejäkin, siis tämä puli-matti..
s24:db52399fe84a9716ef1f72f3287209d0	[]	[]	Maniassa tehtyjä juttuja...  Mitenkähän on, kun nuorempana tuli hölmöiltyä oikein kunnolla ja tehtailtua n. 40 000 euron velat..ja maanisessa vaiheessa. Olisiko se peruste neuvotella noiden velkojen korkoja ja kuluja pienemmäksi? Monet niistä veloista ovat moninkertaistuneet vuosien aikana.  Nyt kun olen kunnossa ja palkkatöissä, olisi tietysti motivaatioita maksaa kiltisti pääomat pois mutta ei kohtuuttomia korkoja.  Onko kokemuksia?
s24:8e79513a4941083c533a999924047210	['label_toxicity']	['label_toxicity']	kokoomuslaiset töihin loisimasta 650 000e tuen vastineeksi!! V  kokoomuslaiset töihin loisimasta 650 000e tuen vastineeksi!!  Vaikka katuja lakasemaan ja risusavottaan ja marjanpoimintaan vanhainkodeille!  hophop kokkareloiset! Pois sieltä sohvalta makoilemasta loiset!  s.koskikaan tehnyt päivääkään oikeeta työtä! Sekin loinen vuodeksi kaupan kassalle elämään sillä palkalla.  Vastikkeetonta SOSSU-tukeA:Kokoomusnuorille 650 000€ Kokoomusnuorten tuet pitäisi poistaa!!!!! Poliittisten nuorisojärjestöjen, kuten kokoomusnuorten, tuet pitäisi ehdottomasti poistaa. On järjenvastaista että tuemme heikomman aineksen lisääntymistä ja sitten ihmettelemme miksi täällä on älyvapaina syntyviä lapsuksia ja kovasydämisiä kannanottoja oikeistonuorilta. Vastikkeetonta tukeA:Kokoomusnuorille 650 000€, kokkareloisille verovaroista tukea tuen päälle!!!! Kokoomuksen Nuorten Liitto sai vastikkeetonta TUKIavustusta 650 000 euroa, Loisivat vaan sohvalla ja kirjoittelevat paskapuolueohjelmia suomen tuhoksi! http://ottolehto.puh/REDACTED/aisi-poistaa Puoluetuki on verovarojen väärinkäyttöä.!!!!!  Susanna Kosken johtama kokoomuksen nuorisojärjestö saa valtionapua 642 850 euroa.=sossutukea!
s24:ae317edbe2a34230b979673fa6694c64	['label_toxicity']	[]	EI_TROLLI_vaan_TOTUUS 22.02.2020 18:55  Jarmo Eklund näyttelee --- PELASTUNUTTA --- vaikka on JUMALATON !  Jarmo Eklund - ja - PELASTUSSANOMA - sivusto ja lisäksi vielä sivuston yhteydessä oleva --- KESKUSTELUPALSTA . . . ;)  . . .  Jumalan TOTUUS --- Jarmo Eklundin --- EKSYTTÄVÄSTÄ TOIMINNASTA . . .  ◾Jarmo Eklund on TEMPAUS - eksyttäjä  sillä --- TEMPAUSPÄIVÄMÄÄRÄ - ennustelu --- ON KIELLETTYÄ  sillä --- TEMPAUS - harhaoppien levittäminen --- ON KIELLETTYÄ  ◾Jarmo Eklund on VÄÄRÄ PROFEETTA  sillä --- VALHEPROFETIOIDEN ennustaminen --- ON KIELLETTYÄ  sillä --- VALHEPROFETIOIDEN levittäminen --- ON KIELLETTYÄ  ◾Jarmo Eklund on SODASSA - Jumalaa - VASTAAN  sillä --- VALEHTELU - ja - PANETTELU --- ON SYNTIÄ  sillä --- VÄÄRISTELEE Raamattua --- esittämällä virheellisiä tulkintoja  sillä --- EI TEE PARANNUSTA --- vaikka toistuvasti KEHOITETTU  sillä --- esittää PELASTUNUTTA --- vaikka on JUMALATON  . . .  Jarmo Eklund on PANETELLUT --- Jumalan PROFEETTAA eli . . . Jumalaa . . . !  . . .  Jumala KYSYY . . .  . . . KAIKILTA --- Jarmon EKSYTYS - lahkoon --- KUULUVILTA . . .  . . . Millä tavalla OLETTE ojentaneet - Jarmoa - hänen rikkomuksistaan . . .  . . . ELI siis --- Millä tavalla OLETTE täyttäneet . . . Kristuksen lain . . . ?  . . .  OLETTEKO - TE siis - UMMISTANEET SILMÄNNE RIKKOMUKSILTA ?  Jumala SANOO . . . TEILLE --- EKSYNEILLE . . .  Jeesus_valitsi_tekstin 28.04.2017 01:04  7. Älkää eksykö, Jumala ei salli itseänsä pilkata; sillä mitä ihminen kylvää, sitä hän myös niittää. 8. Joka lihaansa kylvää, se lihasta turmeluksen niittää; mutta joka Henkeen kylvää, se Hengestä iankaikkisen elämän niittää.  . . . 11. Katsokaa, kuinka suurilla kirjaimilla minä omakätisesti teille kirjoitan! . . .  Kirje galatalaisille 6 1. Veljet, jos joku tavataan jostakin rikkomuksesta, niin ojentakaa te, hengelliset, häntä sävyisyyden hengessä; ja ole varuillasi, ettet sinäkin joutuisi kiusaukseen. 2. Kantakaa toistenne kuormia, ja niin te täytätte Kristuksen lain. 3. Sillä jos joku luulee jotakin olevansa, vaikka ei ole mitään, niin hän pettää itsensä. 4. Mutta tutkikoon kukin omat tekonsa, ja silloin hänen kerskaamisensa on vain siinä, mitä hän itse on, ei siinä, mitä toinen on; 5. sillä kunkin on kannettava oma taakkansa. 6. Jolle sanaa opetetaan, se jakakoon kaikkea hyvää opettajallensa. 7. Älkää eksykö, Jumala ei salli itseänsä pilkata; sillä mitä ihminen kylvää, sitä hän myös niittää. 8. Joka lihaansa kylvää, se lihasta turmeluksen niittää; mutta joka Henkeen kylvää, se Hengestä iankaikkisen elämän niittää. 9. Ja kun hyvää teemme, älkäämme lannistuko, sillä me saamme ajan tullen niittää, jos emme väsy. 10. Sentähden, kun meillä vielä aikaa on, tehkäämme hyvää kaikille, mutta varsinkin uskonveljille.  11. Katsokaa, kuinka suurilla kirjaimilla minä omakätisesti teille kirjoitan! . . . . . . . . . Kirjoitin nyt Jumalan tahdon, niin kuin Hän tahtoi.  Mitä et tiedä . . . se joskus kerrotaan. Siunausta ja Herran rauhaa !
s24:13486560fc7172bb716f966bae18cdec	['label_toxicity']	['label_obscene', 'label_toxicity']	Kummaa tasa-arvoa kun miehet keskenään paneskelee.
s24:46b308e0b70b0ed23aeb4cd17dc75b8b	[]	[]	Siinä hyvä äiti joka pitäähuolta omista llapsistaan ja valvoo ja vahtii ettei vieraat käy haukkumaan tai hankaloittamaan lasten oloa isän luona. Juuri noin kunnon äiti toimii, mieehen pitää ottaa siitä oppia, ja pitää sut poissa omien lasten läheltä,.
s24:c02afe25c08a2c7e0056cabf80876f1a	['label_toxicity']	['label_toxicity']	Kyllä Demarit menevät syvälle, kun pitää rehellisiä Perussuomalaisia loukata ja samalla häpäisevät sotaveteraania tällä Raution julkisuus hakuisella tempulla. Kyllä Isä Timo teki puoluelleen oikei, kun pudotti hänet rattailta. Näin saatiin katkaistua Demareiden ja muiden välinpitämättömien siivet haukkua Persuja.
s24:77bfe2035c1b626bf7f3b252b8d22880	['label_toxicity']	['label_toxicity']	Johanna toimii klubiemäntänä (Huom! vastaava kuin hovimestari ravintolassa) eikä tarjoilijana tai stripparina. On kumma että kaiken maailman luuserit on heti aliarvoimassa ilman että tietävät miten asiat todellisuudessa ovat. Johanna on todella täysillä mukana tässä hommassa eikä todellakaan ole itse ollut tyrkyttämässä itseään tähän hommaan. Ehkäpä ravintola tietää paremmin kenet se haluaa palkata kuin tämän palstan luuserit.
s24:c94e34b02ebf95e0f860faa40a7250f3	['label_toxicity']	[]	Kesä vs. talviaika  Mitä helvettiä! Halutaanko todella aikasiirryttömään vaihtoehtoon kesäaikaa, joka on SAMA kuin MSK, eli Moskovan aikaan. Jotkut joskus hamusivat!!! Suomen talviaika on ihan OK. Siirtäkää sitten mieluiten töihintuloaikaa aurinkoon sopivaksi!!! Moskovan aikaa ei ikinä Suomeen!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
s24:0114a3c9d622e836b3c2b527abd75848	['label_toxicity']	[]	Typerä väite, jos kerran kaverin sormenjäljet löytyy murha-aseesta, niin miten lavastettu? Yhtä typerä väite sekin, että ampujia olisi useampia, miksi kukaan tekisi niin idioottimaista suunnitelmaa, yleensä yksi kiväärimies pystyy tappamaan suojattoman kohteen yksinkin. Kaksi ampujaa, 100kertainen paljastumisriski jo suunnitteluvaiheessa. Se, että ternikivääri olisi jotenkin kelvoton ase, on taas huuhaajuttuja, joita tietämättömät toistelee, kun ovat jostakin kuulleet. Patruunan kaliiperi on tarkka, ja luoti on nopea, joka tekee pahaa jälkeä osuessaan.
s24:3f58d6b859fb3bfeeee3291a77aa498e	['label_toxicity']	['label_toxicity']	Sillon kuule kloppi niin palio rahaa ja muita pisneksiä, nottei siinä auta pankinvaihto. Se kuule poka pelaa pörsikurssiilla.
s24:8065abe769ae62e87e30c63607d51435	['label_toxicity']	[]	Ei ainoastaan se. Koittakaas nyt pässit tajuta.
s24:755ca0d1604c72dead605e52f25a0bc7	['label_toxicity']	['label_obscene', 'label_toxicity']	Noh, kuka sen putinin hakee sinne me-ollaan-eu-länsimaa-nato-persläpi-tuomioistuin -haagiin? yk? etyk? nato?
s24:1e7703bf0fe3c5189746a83589f54168	[]	[]	Kuka?  Kuka on sinun idolisi kerro ja kirjoita se minulle ja laita myös nimesi ei tarvii olla oma mutta vaikka lempinimi muttei mitään esim.karvatassu jne.
s24:44f90bdab287baf795f2f70d65965aca	['label_toxicity']	['label_toxicity']	yleensä sellaisilla miehillä on ollut onneton lapsuus, eivätkä ole saaneet tarpeeksi syliä ja rakkautta, eivätkä tästä syystä halua oman lapsensa kokevan sellaista.  hehheh, ihan hatustako veistelit :D älä nyt ota itseesi, mutta tuo on kyllä täyttä roskaa =oP naurettavaa suorastaan =oD
s24:d1442c10262dfb809e049e73fc659bdb	[]	[]	vai onko levitäjä häntiä,,.,.,.joka on tämän koiran kaitsia
s24:166b48ab531c1ceb9af4f5a5209b6b57	['label_toxicity']	['label_toxicity']	Narsistinen omija
s24:9e0d02b5bb63865435d0a63d29eaf82f	['label_toxicity']	[]	"""Mitens Ry: si Taseet 2019? Saiko lapsuuden kaverisi """" talonmies & toiminnanjohtaja"""" myös nimensä listaan?  Voi rähämä noita sun juttujas. Kuten joku jo sanoi """"itsetuntosi täytyy olla mitätön""""  Aikuinen mies pullistelee rahoillaan anonyyminä anonyymeille nimimerkin takaa? Eihän sulle voi kun olla kateellinen? Hah hah ja hii haa"""
s24:a8a036aa98f2065a2462de5f6e355c20	['label_toxicity']	['label_toxicity']	Pah. Oon kuule ihan hyvä. Haista home
s24:e5b58bf218bb237f1b0d246486e9bd1d	['label_toxicity']	['label_obscene', 'label_toxicity']	hirveesti pelottaa...vievät meltä kremliin viisaan kaupunginhallituksen....ei neuvonantajiksi vaan hajulukoksi...tosin palauttavat kun paskahaisee kovemmin uralilla;;;;hhehehhehehheh
s24:5855b66dcccd936ea4af81abed0411d5	['label_toxicity']	['label_toxicity']	"""Typerä mies: """"Mutta ihmettelen istekin, miksi autoa saa ajaa tupakoiden""""  Maailmassa on paljon asioita, joita sinun älynlahjoillasi ei käsitetä. Tupakan ja päihteiden ero tajunnan vääristäjänä on yksi niistä asioista. Normaaliälyinen käsittää eron, sinä et."""
s24:25b3c13f4075a5d879ce443a5fab0897	[]	['label_toxicity']	Rasismi on maailman pahin asia.   Kyllä. Olen samaa mieltä. Persut ovat tehneet isänmaata vastaan suuren vahingon nostattamalla rasismia viralliseksi politiikaksi. Se on myrkyttänyt monen nuoren mielen ja ehkä loppuiäksi. Liittäisin tähän myös seksuaalirasismin. Ääretön seksuaalipoikkevien syyllistäminen sotii ihmisyyttä vastaan.
s24:4e4e5b47dcdefcba70725ab73e13ed15	['label_toxicity']	['label_insult', 'label_obscene', 'label_toxicity']	Mikä siinä on että autoilijoista iso osa valittaa koko ajan. Kaiken pitäisi olla järjestetty niin, että pääsette niillä nelipyöräisillä moottorisohvillanne ovelta ovelle. Nostakaas perse penkistä niin läskitkin karisee
s24:448d55016de7eb69d84cebf23eaa1ef6	['label_toxicity']	['label_toxicity']	kuinka väitetään että exät kuuluvat ex miesten elämään LASTEN takia, heillä oikeus vaikka mihin LAPSEN takia, ja hups, sitten kun se lapsi kasvaa, eikä hänen nimissään enään syytä pitää yhteyksiä,alkaa kyttäys!!!!kyllähän nyt exä saa häiritä ja terrorisoida, mutta nykysen vika!!!=) exällä on oikeus tuhota ex miehen perhe jos haluaa, sillä hän on miehen lapsen ÄITI ja lapsen edun nimissä voi tehä ihan mitä vaan!!!sairasta!!!!! kyllä luulis olevan exillä parempaaki tekemistä kun puuttua toisten elämään, ja häiritä jatkuvasti exää!! nimim.kokemusta on!!! jos minun exääni törmäisin meidän lähisiwassa, niin varmaan sekoisin, koska todellakin hänenkin maitopurkin hakureissulleen tulisi matkaa 100km..=)
s24:18f32712d20a5824b5f81810ecaea020	[]	[]	onhan nämä traumat aika nuoruuden juttuja, ikää kun on vasta 35 :) Miten sille voi mitään että minusta rinnat ovat yksityiset enkä niitä halua esitellä julkisesti! Ja se todellaikin kävi kipeää kun lapseni silloin 6kk iässä iski kaikilla neljällä hampaalla nänniini kiinni!
s24:c9709bf19ee5e02d4d4feff251d9b38d	['label_toxicity']	[]	Sehän on Isokyläläisten eronneiden ja karanneiden akkojen kierrätyskeskus. Minäkin sain nauttia kerran tästä ilmiöstä. Sieltä ne exvaimot lähtee uudelle äijäkierrokselle!
s24:aa8bf106b35158c8dfc4833cc378a675	['label_toxicity']	['label_insult', 'label_toxicity']	Kyllä olet niin edessäolevassa muutenkin melkein kiinni, ettei siitä jarrusta mitään apuva ole! Olet vaan pelkuri ja sun pitäis käydä autokoulussa uudestaan keräämässä rohkaisua.
s24:3a5d74a70b5237cc14e222fcb83b1739	['label_toxicity']	['label_toxicity']	Ei todellakaan pelotota parin p*askahousun uhkailu netissä. Alistukaa kohtaloonne tai voi tulla itku silmään. Jos vastaan tulette niin koittakaa onneanne ihmeessä.
s24:1c0a946c05c26318845ec06818d27a92	[]	[]	KYMCON HUOLTO????  Toimii miten sattuu, mitä tulee Riihimäki-Hyvinkää akselilla.Hyvinkää puoti ei ainakaan auki silloin(kun pitäisi) kuin ovessa aukioloajat kertovat,mutta osaahan niitä muutkin huoltaa ja nykylainsäädännön mukaan ei tarvitse takuiden takia merkkihuoltoa edes käyttääkään , riittää kun on moottoripyörähuolto liike työn suorittaa.
s24:241300b7da6dd0ece922100485ad4265	[]	[]	No ihan sillä perusteella, että tuo FW31J on 200-300€ halvempi. Kuten jo sanoin, jos ei tarvitse polttavaa blu-rayta niin silloin tuo FW31J järkevin. Prosessorien välinen tehoerohan noissa on käytännössä pieni eikä nähdäkseni tuossa kovalevyn koossakaan juuri eroa (400gt vs 500gt). Ja bonuksena FW31J:ssä on näköjään nopeampi kovalevy (5400rpm vs. 4200rpm).  En siis näe mitään syytä miksi maksaisin tuosta FW31M mallista 300€ extraa ellen sitten tarvitsisi tuota polttavaa Blu-rayta, mutta valinanhan teet toki sinä enkä minä... ;)
s24:f412f7174bf55353d7e71339ea21e3f0	['label_toxicity']	['label_toxicity']	Marssi itsenäispäivänä!!!!!  Hei Suomalaiset,etteko vielä valmiitä vastustaa hallituksille kaikkista,mitä meille tapahtui? Pitäisi oikeasti tulee ulos ja ilmoittaa omaa mielipidetta hallituksille. Puhun nyt pakolaisista. Meidän kotimaa ei enää on turvallista,jos tässä on noita muhamedia. He ovat murhaija,terroristeja,rajskajija,väkivaltaisia ja vihollisia meille eikä mitään parkkoija pakolaisia.Heidän pitäisi välittomäksi poistua Suomesta. Ei ketään niistä jää tänne. Kaikki meitä käytetään hyväksi. Marssin vaatimuksia: Pois pakolaisia Suomesta! Ei pakolaisille oleskelulupaa! Tärkein-kanssan turva! Pakolaisilta-uhka! Pakolaisilta-vain haitta! Suomi-vapautta pakolaisiata! loisia pois hartioistanne!............................ Meitä kohta tuhotaan taloudellisesti ja fyysisesti,hengisesti. Eikö me vastustaa ????
s24:023f2e2e2b70edab2c744a2cb82feb32	['label_toxicity']	['label_toxicity']	Sauli, Juha, Timo, Stubbi voi ottaa muutamia kymmeniä asuntoihinsa. Kun niin kovasti niitä maahanmuuttajia tänne haluuvat. Onhan niillä isot kämpät ja tilaa. Toista se on suomalaisen köyhän. Nukuttava roskiksessa kun ei saa asuntoa. Nyt vielä heikommin kun mm kiilaavat jonon ohi. On e niiiin väärin :(
s24:057aca7c6eb68d2ff5035075467c6ba1	[]	['label_obscene', 'label_toxicity']	kuuluuko formula autosta ääni jos kukaan ei ole kuulemassa, ei kuulu  haiseeko some planet jos kukaan ei ole haistamassa, ei haise  aistit ovat illuusio ja vain sitä avrten että meitä ei syötäisi parempiin suihin
s24:b1744a34376a85faf6a31ae6b19abd65	[]	['label_toxicity']	parempaa ku hyvää.Limakalvot rupes turpoon suussa ja kuola valuu.
s24:94dea6ab7961ba23854fd72d294d7858	['label_toxicity']	[]	Ei normaalisti tarvikkaan, mutta sinulle pitää näköjään laittaa moneen kertaan, etkä ymmärrä sittenkään. Taidat olla aivan pyörällä päästäsi.
s24:c51022f5a48b766599d0d7d1667e8381	[]	[]	En voi harkita mitään. Seksielämään pitää sisältyä muutakin, ei kiinnosta platooninen seksi. Jos rakastaa, haluaa rakastella :)
