s24:b3dfeac54206980747141aeedcbfe2c3 	 not-obscene 	 163 HEPPAA 	 0.15807129442691803
s24:6a635b90bde8874775ecc9be05541661 	 not-obscene 	 Olet siis ätmi joka on kai eroamassa 4 vuoden suhteesta tämän kuun puolen välin tienoilla? Ootko nyt ihan varma että sinulla on termonologia täysin hallussa? 	 0.15772485733032227
s24:18273f2804c657acdc9ceff07e781884 	 not-obscene 	 Tuijota Venäjälle ja vapise pelosta. Sillä aikaa USA tulee lännestä ja puukottaa sua selkään.  Näin se peli kovenee. 	 0.18178771436214447
s24:17b544621edbe97cf8bf2d80803d19ad 	 not-obscene 	 vaimoille. Se on hirvittävää ja väärin tuollainen häirintä. Mutta ne jätetyt kakkoset ovat kokeneet tulleensa jätetyksi kuin roska. Tiedän, mistä puhun. Mies jätti mut parin vuoden salasuhteen jälkeen, kirjoitti vain,että 'tämä oli nyt tässä'. Se, että jätti, ei ollut se, mikä eniten satutti, vaan se raukkamainen tapa, miten jätti. 'Tämä oli nyt tässä..ei yhtä ystävällistä sanaa, ei hyvän jatkon toivotusta. LÄhetin hänelle muutaman viestin, muttei yhteenkään vastannut. Annoin olla, en lähtenyt kostoretkelle. Mieshän ei missään vaiheessa edes kuulunut minulle. Mutta jollain tavalla käsitän, että oikein rakastunut jätetty kakkonen saattaa joutua raivon partaalle. Ja niinhän se on, rakkaus ja viha ovat toisiaan lähellä. Usein nämä miehet lupaavat kymmenen hyvää, yksitoista kaunista...niistä lupauksista te vaimot ette tiedä, ettekä kuitenkaan uskoisi sellaista miehest'änne. Ei sillä miehellä puhtaat paperit ole, eivätkä asiat ole sillä kunnossa, että hän jää vaimon luokse. Siitä se selvityminen vasta alkaa, eikö totta? Siis, en aio kostaa, nielen haavani yksin. Olisin toivonut edes ihmisarvoisen kohtelun, mutta ei edes hyvän jatkon toivotusta. En koskaan mieheltä pyytänyt mitään, en edes kuvuitellut hänen jättävän vaimoaan..mutta kyllä satutin itseni sotkeentumalla ukkomieheen. Mutta mitä tuollaisen pettävän miehen päässä liíkkuu vai onko todellakin niin, että miehen aivot ovat alapäässä..:) 	 0.11686691641807556
s24:3b1062f023880f6013e0f0beff17cb1b 	 not-obscene 	 Mul o ittel semmose vehke et ei tartte malli näyttä , mä ole nähny kokemäe uunonki se ajel niil tyhjil kummeil. 	 0.16015461087226868
s24:656462f3318c7a81e2687ae287737287 	 not-obscene 	 Ja möläytyksesi hönttikamaa. 	 0.17320634424686432
s24:5fddb23080bc2f9252082144e9ebb3aa 	 not-obscene 	 Kepulaiset taitaa nuolasta, ennenku on mittään tipahtanakkaa. VAIN Perus Suomalaiset pystyy kääntämään Suomilaivan kurssia. 	 0.14320653676986694
s24:727171f816d4e0abe300383720fda70e 	 obscene 	 itse laittaisin molempiin vessoihin oman, mahdollisimman pienen säiliön. Letkutus kannattaa suunnitella niin että venttiilien normaaliasento, eli paska suoraan mereen toimii ilman häiriöitä. Oikein rakennettuna ei tarvitse säiliötä koskaan altistaa WC jätöksille, vaan se täyttää puhtaana ja tyhjänä katsastusmiehen tarkastuksen, joka onkin ainoa syy paskatankin jälkiasennukseen. 	 0.10866473615169525
s24:ce95201c2a3b56af150d45bd51d77d19 	 not-obscene 	 borstaaks se peseytyessää jotai toistaki. 	 0.11145343631505966
s24:5930b1967e91f9348989bfc55cce876d 	 obscene 	 "Miten ihmiset eivät voi ajatella, miltä se kasa mahdollisesti näyttää tuolta toiselta puolen? Itsekkäitä paskoja vaan on.  Minulla on kokemus, jolloin kyllä tuntui ettei naapuri voinut olla edes huomaamatta. Ihan piruuttaan keräsi seinustalleen kaikkea jonninjoutavaa meidän rumistukseksi.  Kyllä tuollaisesta voisi tehdä valituksen johonkin ulkopuoliseen tahoon. Jos ei pihanrumentaja itse sen vertaa ymmärrä tai halua ymmärtää... Tai sitten keksit ""kostoksi"" jotakin kivaa rumennusta heidän puolelleen nähtäväksi. Ehkäpä sitten huomaa" 	 0.13279908895492554
s24:e05160ce75ba7b8b1c8d98fc89afb286 	 obscene 	 Siis MITÄ sopimuksuksia persut EIVÄT ole NOUDATTANEET ?  Ei jumalauta pitäisi olla ylivoimaista vastata selvästi, jos kerran tuollaista väität ! 	 0.15925976634025574
s24:d0de3953a9517701ac35550d916e13ef 	 not-obscene 	 Älkää nyt ainakaan kovaan ääneen julkisilla paikoilla noilla pokehommilla kehuskelko. Normaali-ihmisille poke tarkoittaa pornoa. 	 0.11411899328231812
s24:45442a8659ee472c0652620a1afce8c4 	 not-obscene 	 En usko sua! Miks ne muka vois olla nii isot ku olis aika tyhmää jos kukaa ei voi opiskella.. mist kuulit? 	 0.10850688070058823
s24:9d04f8dfc8c6a95bac9baeb895ddffa7 	 not-obscene 	 "suatta sitä ansiosidonnaista päivärahaa n. 2v, mutta sen jälkeen voi tippua ns, työmarkkinatuelle, joka on noin 400€/kk. Elikkä sitten siinä vaiheessa on Perlos kuin unen näköä. Ymmärrän täysin tamän tehtaan siirtymisen sinne ""Kiinaan´yms."". Eihän täällä Suomessa ole muuta kuin nämä ammattiliitot yms. jotka vaan ajaa palkansaajien e t u j a. Totta kai siellä Kiinassa ihmiset on tyytyväiset vähempäänkin ja tuskin nää l i i t o t siellä vaikuttaa, joten bisnestä ja tulosta on H Y V Ä tehdä......." 	 0.14481186866760254
