s24:47077c6866039a4f38dfa6d7d69c0524 	 severe_toxicity 	 kiihottaa vaan ne reunat:)))) Mikä on se hyödytön nahka läjä vitun ympärillä? Nainen! 	 0.03057396598160267
s24:1e4dfb7694359fac65c758984587c468 	 not-severe_toxicity 	 Saatanan limanuljaska skampäk! 	 0.11424761265516281
s24:eb28c1f95c5b1e75d2f97afdbd3e6929 	 not-severe_toxicity 	 vai oliko se AD-HD? Vittu mikä nauru homppelilla. 	 0.08626990020275116
s24:4d0738a8a9e4f51ef39f4a03fd4a2402 	 severe_toxicity 	 Matu raiskaa se vain on kylmä totuus, eikö se mene suvakkien kusiseen päähän, suvakit ruokkii näitä maturaiskaajia, eikä tunnu omaa tuntoo vaivavaan,,, ehkä sitten kun kolahtaa omaan nilkkaan,, 	 0.011864077299833298
s24:eba160c9c4a39d5f86f5936a7c2b0c2b 	 not-severe_toxicity 	 "Ei mulla muuta kun et onneksi mulla ei ole lapsia. Mä varmaan tappaisin jokaisen puolikaljun oksettavan pedofiilin joka katsoisi mun lasta ""sillä silmällä""!!  Voiko enää mitään vastenmielisempää ollakaan kun nämä ala ikäisistä tytöistä haaveilevat perverssit neitsytsedät!?!  Lopettakaa se nettiporno . Menkää kirkkoon ja rukoilkaa sairaitten halujenne puolesta. Jumala kyllä kuulee ja antaa anteeksi ja poistaa halut! Jollette sitten rukoile itsellenne oman ikäistä puolisoa." 	 0.009868965484201908
s24:80ce97e799850c0bbc6ab0ad4ee62443 	 not-severe_toxicity 	 Saat imeä kullia jos haluat huomenna törmällä iltapäivällä 	 0.2121461182832718
s24:fb996601606380d629b77881fe12be39 	 not-severe_toxicity 	 PS. Aika vitun urpoja ootte kaikki :DD vastailette 8 vuotta vanhaan otsikkoon :DDDDDDDDDDDDDDDD tai sit mä oon vaan urpo ja puhun ei-kellekkään.. 	 0.7595852017402649
s24:88c059682337db3d3215ecc096417e09 	 not-severe_toxicity 	 Hyppää ny äkkiä kaivoon tai sinne helvetin CHÄTTIIS äläkä valita... 	 0.11375157535076141
s24:88c059682337db3d3215ecc096417e09 	 not-severe_toxicity 	 Hyppää ny äkkiä kaivoon tai sinne helvetin CHÄTTIIS äläkä valita... 	 0.11375157535076141
s24:9073ae16b54a831341edd92d03050dcd 	 not-severe_toxicity 	 Se että tuottaa toiselle sellaisen nautinnon että toinen suoraan sanoen räjähtää kolmanteen taivaaseen. Mä teen omalle naiselle kaiken nuolen, hieron, panen... Nainen saa muutaman orgasmin joka sessiossa. Arvatkaapa mitä minä saan; akka on vitun lahna, makaa vaan sängyssä ja minä teen kaikki työt, menee tunti joskus parikin tässä minun käsittelyssä. Ei ota akka multa suihin, hyvä jos kerran kuussa ottaa ees mulkun käteen. Mietinkin että tarttuuko tuo lahnatauti minuunkin. Vai heittäydynko lahnaksi. Olisi sääli pistää muuteen hyvää akkaa kiertoon... Ja tämä on muuten tosi juttu, siksi eksyinkin tänne palstalle, ja tunteet kuohahti pintaan... 	 0.0617121160030365
s24:8fd4b09429948c523b2fbd373143a09e 	 not-severe_toxicity 	 kaverin akka on iha älytön narsisti joka luulee olevansa maailman ihanin, kaunein ja paras? akka on huorannu,lesboillu ja järjestänyt ukkosa putkaan,hakannu,haukkunu fase bookissa työssä käyvää ukkoaan ja ite oo päivääkään tehny palkka työtä kun tukiaisilla elää nii makiasti niinku sukulaisensa!? helevetin surullista kattoo sivusta mut puhuminen ei auta,miten käy sitte ku mies herää todellisuuteen joku päivä ja tajuaa että hänen elämänsä on pilattu?! varmaan lehden nurkassa pieni otsikko: mies tappoi naisen perheriidan päätteksi.. 	 0.30126890540122986
s24:2370e415047ec280095a2c40bfef030e 	 not-severe_toxicity 	 Oikeasti kokoomuslainen nussi sinua perseeseen. Sinua kuten kaikkia Suomen kansalaisia eliittiä lukuunottamatta. Arhinmäki oli lyömässä tahtia. 	 0.25334471464157104
s24:a280d6b4d9468c5c315f8c307fcdc334 	 not-severe_toxicity 	 Miten homo voi hasta vitulle? Anteron logiikalla ilmeisesti voi :-) 	 0.021093975752592087
s24:4bab41175fe4fccc5fa165dfaf812d3e 	 not-severe_toxicity 	 Ikävöin tietenkin mut hän on kusipää!!!! 	 0.101209856569767
s24:08e16419d71939adfb532d89d4b36510 	 not-severe_toxicity 	 Meinaatko hakata muijasi huonoonkin kuntoon? 	 0.015012667514383793
s24:0f601d834406c3f47fc587714066847f 	 not-severe_toxicity 	 PERÄVETO! 	 0.016310524195432663
s24:76adcb50367db07c409785a8cda894d1 	 not-severe_toxicity 	 Vittuakos se sulle urpolle kuuluu! 	 0.5577953457832336
s24:3ccd34106586463322dbed140eff6c43 	 not-severe_toxicity 	 Eniten vituttaa ostoskärryjä työntelevät ja niillä käytävät blokkaavat ämmät ja huutavat ympäriinsä juoksentelevat kakarat. 	 0.062491126358509064
s24:2488fbdc1207257eccda2e57dccf4d45 	 not-severe_toxicity 	 Mä taas otan AINA yhden kahvin konjamiinilla, kun olen minäkin siitä onnellinen että vihervassarisuvakkiämmien poppoot kuihutuvat olemattomiin ja persuilla menee niin vitun lujaa että saa lakistaan kiinni pitää. 	 0.03687955066561699
s24:e8f310dbf579a506092f644ed5cedfc6 	 not-severe_toxicity 	 Paskiaiset  Jumalauta että vihaan naapuriani. Luuseri oli aikaisemmin hirveä melukone mutta ei häädän pelossa uskalla enää kutsua murjuunsa vieraita. Tällä hetkellä ärsyttää eniten naapurin tupakointi. Jollakin tavalla aion vielä antaa takaisin samalla mitalla sillä olen kyllästynyt jatkuvaan kiusantekoon. 	 0.07594199478626251
s24:a71e1bc42f8b7a29a4ea0b11b10c6110 	 not-severe_toxicity 	 Haista sinä paska. Itte levität myrkkyä ympärilles :/ 	 0.17363335192203522
s24:0b09d7c15edb7280849ae235f52283c2 	 not-severe_toxicity 	 "kaivattiinko tällaista ""0e - turhuutta"" kommenttia? kysyttiin että _PALJOLLAKO_ ostat, ei ostatko vai ei!  ihan oikeasti HAISTA VITTU" 	 0.07508465647697449
