s24:64844416909031b96232f1d6249d63f6 	 not-toxicity 	 VIELÄ YKSI ASIA! NÄMÄ EI OLE HENKILÖVAALIT,VAAN PUOLUEVAALIT!!! 	 0.31808194518089294
s24:89507133f358f23b6e7c5a8f6a735f52 	 not-toxicity 	 ManC 1 - Kyösti FC 0  Ja lisää tulee..  Kyösti vaipuu koomaan kun rankkareilla City menee jatkoon.. 	 0.3389134407043457
s24:288c00061ab55d841710bb7a6a341f3b 	 toxicity 	 oikeinko otit kokonaisen vuorokauden seurannan. Olen seurannut vuoden sun lässytyksiä enkä kehottais ihan hirveästi tuulettelemaan, pelle. 	 0.3822820782661438
s24:d17e1d91e225af7712832b94e3e3d448 	 toxicity 	 Niin tai kiusaajat ovat noita taloon päin kallellaan olevia mielistelijöitä, joiden pääasiallinen tarkoitus on väistellä työssään vastuutaan ja sysätä kaikki virheet muiden niskoille ja useimiten he vielä jakavat omat työnsä muille, että jää aikaa enemmän esimiesten mielistelyyn ja oman erinomaisuutensa esille tuomiseen. Useat esimiehethän ovat erittäin persoja perseennuolennalle. Työpaikan kiusaaja voi olla esimiehille eräänlainen jumala, joka hallitsee ja pompottaa esimiehiä mielensä mukaan ja esimiehet ovat käytännössä kiusaajan tai kiusaaja ryhmän sätkynukkeja. 	 0.3127790689468384
s24:d86e1210e208c4457df20f0d58df4c6c 	 toxicity 	 Sinullahan on kaikki  mihin sinä sitä toista naista tarttet? Nöyryyttämiseen ja hänen polkemiseen, jotta saisit oman egosi nostettua 	 0.3688822388648987
s24:2e23ea2d0ecbae90a08b9966491686e7 	 toxicity 	 Kaikki ihmiset joutuu helvettiin. Henkilöön ei katsota. 	 0.3341750204563141
s24:e205e589749da55e3b422092bfbb4010 	 not-toxicity 	 Oletko Jäbä.45 rouva myös ?  Onko J Jujuttaja myös rouvas henkilö ?  Niin...kysymys heille, jos ei sulle arvonn rouva. 	 0.3037099540233612
s24:840a6b49aea2636c133c8bb04e64c2d3 	 not-toxicity 	 Minä idiootti menin mukaan tähän. Tosin fiksuna pistin semmosen visa elektron kortin nuneron mulle tilille ei tule rahaa koskaan. Kuolletan kortin? En Ole vahvistanut kauppoja, pitääkö tai uskallanko mennä katsomaan niiden sivuilta olenko tilannut kestona tyhjää? 	 0.3474595546722412
s24:86891bae7c4c2760a5a9d293e51ecead 	 not-toxicity 	 Lapua kasvaa...tirsk 	 0.33390429615974426
s24:cbe33b1807a83b71e761e1f952f84a3a 	 toxicity 	 Menes nyt muualle häiriköimästä tätä palstaa, h-vetin vanha haaska.  Kovin monta kertaa en tule yhtä nätisti pyytämään... 	 0.30292096734046936
s24:bed2992f2ab3e561e4ec7455e93c8fcf 	 not-toxicity 	 kuitenkaan mikään feministi oo.. 	 0.32562002539634705
s24:7ac28f6d74bdddfa12b11775fecdebc0 	 not-toxicity 	 Lopeta heti Katin kiusaaminen. Katia ei pidä lukea niinkuin piru lukee raamattua, vaan Katia on luettava niinkuin luovaa taiteilijaa. Ja jos hän on tälle yhteiskuntajärjestelmälle vaarallinen, niin sitä parempi kansalle ja naisille. 	 0.38607293367385864
s24:78aee9f7c133410ecd1203e5ba9d6fed 	 not-toxicity 	 No eihän tämän tiedon minään suullisena perimätietona pitäisi kulkea. Olikohan tuo aloitus muuten ihan huulenheitto samalla tavoin kuin ketjussa oleva persujen kehuminen lämpimästä heinäkuusta. Oli tai ei, niin peruspersuun uppoaa molemmat täytenä totena. 	 0.32145676016807556
s24:6aaf76a8cbf0b1e3ac684e695c092a58 	 toxicity 	 Kyllä se kuuluu. Minun lapseni eivät kasna homohype ihmiskuntaan, ovat synnynnäiseti heteroja, siihen myös kasvatan. 	 0.3162365257740021
s24:21977677fd00ce79e6101f18896e8df1 	 not-toxicity 	 ceridal öljy?  Hei!  Joku kirjoitteli muutamia kk sitten liukastusvoiteista... Tietääkö joku.... Onko ceridal öljy sellaista ettei se tapa siittiöitä? 	 0.3201068043708801
s24:7291fad55165e00f663ffc77caa33148 	 not-toxicity 	 "...lähetteli tässä perjantaisähköpostia koko laitokselle, jossa oli vähäpukeisia miehiä keittiötöissä...  Minä lähetin sitten laitoksen seinälle laitettavaksi sitten tissikortin (hyvällä maulla varustetun, ei liian paljastavan - USA-tyyliin vain) erään miestyökaverin kanssa eräältä työmatkalta, ja reippaana tyttönä sihteeri oli sen siihen kiinnittänyt. Toistaiseksi laitoksemme historian ainut ""tissikortti"" - ainakin oman muutamavuotisen oleskeluni aikana, vaikka monia maisemakortteja tulee - ja hyvin soveltui suomalaisen imagoon :-)  En olisi tuota tissikorttia laittanut, ellei tuo sihteeri olisi aloittanut ;-) (ja hän tietää sen).  Miten suhtautuisit, jos naiskollega esittäisi sinulle kommentin mieskollegastasi: ""onpas tuolla kiinteä perse""? Ilmeisesti järkyttyisit, tai ""pakko kai sinun olisi jotain vastata""?" 	 0.3733157515525818
s24:d3531f4448ed40a22455e4bbd40112d4 	 not-toxicity 	 Muistakaa ihmiset että pyörä tulisi taluttaa suojatien yli, EIKÄ AJAA, niinkuin jatkuvasti näkee. Se että sitä tekee lähes jokainen (itse mukaan lukien) ei sinänsä haittaa mutta kun aina on joku joka suorastaan ryntää vauhdilla eteen. On tullut itsekkin koettua kun aikuinen akka yhtäkkiä kääntyy suojatielle polkupyörällä eikä katsonut ollenkaan et tuleeko autoja. Kyllä siinä pisti miettimään että tällaisia(ko) meissä aikuisissakin oikeesti on. Hitto miten tyhmää. Olin oikeesti niin lähellä suojatietä enkä voinut millän käsittää että sieltä vaan vauhdilla käännytään eteen (kai mulla on sitte niin hiljainen auto?) Jälkeenpäin saa todeta että onneksi olin valppaana ja osasin varautua. Mitä jos olisin vaikkapa näppäillyt radiota sillä hetkellä?  Itse koitan niin ennakoivasti ajella ettei edes tarvis pysähtyä vaan hiljennän niin kaukaa että toinen ehtii tien yli mennä. Näin mulle on opetettu autokoulussa.  Sanon vielä sen että käyttäkää järkeä niissä suojatien ylityksissä vaikka kuinka olisi oikeus itsellä mennä ensin. Miettikää onko järkeä hyökätä suojatielle kun rekka on tulossa (60tonnia) Onko sulla oikeesti niin kiire että tuollainen massa pitää pysäyttää just sun takia. Se vaan saa aikaan lisä ruuhkaa ja kuormittaa ympäristöä.  SILMÄT AUKI JA JOUSTAVUUTTA PELIIN NIIN KAIKILLA ON TURVALLISEMPAA!!  PS. ÄLKÄÄ JÄÄKÖ MALEKSIMAAN SUOJATIELLE VAAN MENKÄÄ!!  -kuljettaja- 	 0.34481415152549744
s24:32719793c4f50768b1417c08d1afab5d 	 toxicity 	 "Eikös tämä Sammaljoki laske Kokemäenjokeen siinä Äetsä alapuolella, ja se Kokemäenjoki taas puolestaan laskee mereen?  "" Turpaa esiintyy vain etelä- ja lounaisrannikon murtovesissä sekä niihin laskevissa joissa. "". Tämähän se taisi olla väitteeni?  En oletakaan, että tietäisit kaloista. Mutta miksi sinulle on niin tärkeää yrittää päteä asiassa, josta ei taida tietää mitään. Eihän ne faktat - veli hopea - jankuttamalla muuksi muutu. Eikä se muutu winkkarikaan, kusetusta mikä kusetusta.  Ymmärtäisit jo nousta siitä Sarviksen pulkasta ja olla kuin muutkin miehet, jooko." 	 0.30472806096076965
s24:6a815691083cdde1211486dcf9192f54 	 toxicity 	 No nythän sinä aloit jo rienaamaan. Ota vaikka syvät ryypyt sitä käsidesiäsi ja rauhoitu.  Jos jää kiinni disinformaatiosta kaltaiselleni faktantarkastajalle, olisi hyvien tapojen mukaista pyytää reilusti anteeksi.  Tuollainen öyhötys on rumaa ja järjetöntä.  Ja huurtonaurua tosiaankin vähintään vartti näin talviaikaan:) 	 0.3612566888332367
s24:27bfc8a622bac72b7714ecfc734cac92 	 toxicity 	 Vanhanenkin kysyy, onko siellä ryssänhelevitissä kylymä ?  Pattikselle pitää mennä myös nauttimaan. Ihiminen on syntyny meressä ja on pääsääntöisesti hiiltä.  Kyllä herra tietää mitä laulua sitä lauletaan, kun on rahapussista kyse. 	 0.33344417810440063
s24:90dae975a62120d023765bab5efe30f0 	 toxicity 	 Juu ja sit ku väännät mullekin rautalangasta sen perhosefektin, et miten veneveron poistamine aiheuttaa ihmisten liukastumisia kaduilla, niin toi sun aivopierushan alkais kestämään vettä jo kuin seula! :D 	 0.3069464862346649
s24:d6bbd9ffe44ae9fbce78e91642ad5d51 	 not-toxicity 	 Mitä tosta porua pitämään. Pari kolme 60 v. vanhaa taloa puretaan, mummo ja pappa pääsee rahojensa kanssa mukavaan palvelukotiin minne he kohta muutenkin joutuisivat pakon sanelemana. Eiköhän tollanen kauppakeskus tuo kuntaan työpaikkoja ja verorahoja millä niitä palveluja sitten rahotetaan. 	 0.33652329444885254
