s24:4048f430fd8513e69d9a33fb894362b8 	 severe_toxicity 	 Vittu että sä oot tyhmä! Etkö sä osas lukea? Ooksä joku kehari? 	 0.9055988192558289
s24:7537e13d89cf24984a6eb37e6c83bea8 	 not-severe_toxicity 	 kuka vittu haluaa vapaa ehtoisesti pampuksi ?!!!!!!!!!!! 	 0.35568273067474365
s24:93471f419343e464920abd976784b10f 	 not-severe_toxicity 	 Sinuakin viedään ja kusetetaan nyt ihan jatkuvasti.  Hyvänä esimerkkinä kyseisestä asiasta voisin mainita että kerroit minun olevan joku kommari tai vastaava komujutustelija ilman mitään sen parempaa tietoa asiasta.  Joten nyt aasin lakkia päähän vaan sinullekkin vitun aasi.DDDDDDDDDDDDDDDDDDDDDDDDDDDDD 	 0.12498590350151062
s24:015b1e42256bbd2934cc1c9cc425f569 	 not-severe_toxicity 	 Joo ja kaikki pelimiehet ja muut homot voivat painua vittuun. 	 0.6065630912780762
s24:3e12ec5bfb193b0b69db18f3f6cb5d39 	 not-severe_toxicity 	 vittumaista kun tulee horoista kaikenmaailman kutinat ja ihottumat. Kokemusta on. 	 0.147311270236969
s24:8a840a2154fee4ef2163141b74c9a4b8 	 not-severe_toxicity 	 Haluaisin syödä paskaasi. 	 0.5276010632514954
s24:94dc8951fa807cd43cc8ee03b6b10e99 	 not-severe_toxicity 	 Vitun vajaaälyinen. Työväestö maksaa palkoistaan raskaan veron, jota ei voi kiertää. Sipilän kaltaiset huijarit saavat pääomatulot veropaaksi aina kun sijoittavat ne edelleen. Tämä ei ole mitään bisnestä vaan puhdasta veronkiertoa, joka on räätläöity juuri Sipilän kaltaisille rosvoille ja suursijoittajille. 	 0.1518409252166748
s24:f25cee7e12e71b1aa466c4dc6dd734da 	 not-severe_toxicity 	 Niin mikä helvetin uskonto.......Ei tietääkseni kumpikaan ole mitenkään uskontoon liittyviä asioita. Siinä kirjoittelee taas joku tyhmääkintyhmempi paskahousu joka on ihan pihalla kaikesta. 	 0.030841605737805367
s24:1697cea7a07f90f4defafb70ab6e08eb 	 not-severe_toxicity 	 Mitä kyrväkkeet? Mitenkä se sika sullaa savolaisten sisuksissa? oiskohan kosteeta ja lehtevää laukkutorttua liikkeellä illan kähmässä kylillä? 	 0.001433872734196484
s24:9cc7701fe5007030f7595d664bd86bd1 	 not-severe_toxicity 	 ihan PERSEESTÄ!!!!  Ne toivovat että kommunismivalta palaisi esimerkiksi Suomeenkin!!! 	 0.06278474628925323
s24:f8ad60960f3c73ecc4882ec0d7936ad2 	 not-severe_toxicity 	 "Mikä vittu teitä porilaisia motoristeja oikein vaivaa?  Pakko huudattaa niitä ""mopedeja""?!?!? Mahtaa tuntua miehekkäältä, kun koko katu raikaa..." 	 0.30241525173187256
s24:2a5f0f8d7159ee48111aac732e319f11 	 not-severe_toxicity 	 kuolee lapsia NÄLKÄÄN kuin kärpäsiä.  Vitut kukaan piittaa. 	 0.8494077920913696
s24:ec23d0cf9588a4a2bb047fb8b8efef3c 	 not-severe_toxicity 	 Fuck you!!! 	 0.8478307723999023
s24:4d8d4586436bf5a56beb650189e4593c 	 severe_toxicity 	 lopeta nyt jo se määkiminen vitun vasikka ja muiden syyttely mene ja katso peiliin syyllinen kaikkeen löytyy sieltä. Jos et sitä ymmärrä ota ja vedä itsesi hirteen saatana. 	 0.15500155091285706
s24:d31582cef3ce71b28624ee65809faed9 	 not-severe_toxicity 	 itte vittuun! 	 0.9256114959716797
s24:8c4cfc33325b3f4c3b5feef3c1817467 	 not-severe_toxicity 	 Vittu ku panettaa!  Tältäkö miehestä tuntuu kun panettaa???? Helvetti....vihdoin kauan odotettu yksinolo kotona, muutama lasi viiniä, ni eikös ala panettaa!!!! 	 0.4290810823440552
s24:7e7a514c3708c6ef0f965d52a69d7917 	 not-severe_toxicity 	 "Vitun kakarat, luulette voivanne äänestää! Olette kaikki alle 18-vuotiaita ipanoita. Ainakin tämä kyseinen ""et sillei hei"" -poju. Tepi, milloin pääset eroon tästä ""et sillei hei"" -teinijutusta?  Sensorin kommentti: Heikko esitys  Arvosana: Hylätty" 	 0.5330671668052673
s24:1df689003308df72ccf36d2140de1766 	 not-severe_toxicity 	 mAkKARRONI SOLTTU  Maailman surkein solttu. 	 0.017080632969737053
s24:1df689003308df72ccf36d2140de1766 	 not-severe_toxicity 	 mAkKARRONI SOLTTU  Maailman surkein solttu. 	 0.017080632969737053
s24:0da671e03f97582ee788dd13493140d0 	 not-severe_toxicity 	 suuhun ja kasvoille tämän-iltainen lasti , mutta annetaan kalua ensin vittuun miin , että pyytelee sitä orkkuaan kunnolla ja sitten suuhun. 	 0.2934044301509857
s24:41311fb3d5269b9997917733b861dcc3 	 not-severe_toxicity 	 kyrpäaivo 	 0.7952750325202942
s24:fb95c770a2537e4bff44008122edc99c 	 not-severe_toxicity 	 Mmikä nååska nousee parhainte päähä  denssii vittu vedän ite vittu et sätii vittu  ketää vetäny denssi coopperii 	 0.6131483912467957
s24:ed65aac1682c202877b12eb5ec7b21b9 	 not-severe_toxicity 	 Voi Vittu Nainen. Ents jos sinua ei ookkaan seuraavana aamuna tekemäss puuroa lapsillesi ku olet aivokuollut. ??  Mies voi vajavaisuuttaan aiheuttaa sinulle vaiikka mitä. Hyväksytkö sen. 	 0.8832510709762573
s24:ed65aac1682c202877b12eb5ec7b21b9 	 not-severe_toxicity 	 Voi Vittu Nainen. Ents jos sinua ei ookkaan seuraavana aamuna tekemäss puuroa lapsillesi ku olet aivokuollut. ??  Mies voi vajavaisuuttaan aiheuttaa sinulle vaiikka mitä. Hyväksytkö sen. 	 0.8832510709762573
s24:137f071b7643eeda4621b8770e03b9f7 	 not-severe_toxicity 	 Olette kipeitä paskiaisia ja eläinrääkkääjiä yököttävine persereikinenne! 	 0.840715765953064
s24:c5a01e78d523528ce1afcf544c543dcf 	 not-severe_toxicity 	 Naisen kanssa parisuhteessa ja vakituinen mieskaveri pano-suhteessa. Mies imettää munaansa ja nussii minua perseeseeni säännöllisesti. Hän on entinen koulukaverini, joka on käyttänyt minua panopuuna vuosien ajan. Hienoa kun kelpaan pano-reikäksi. Imen mieskaverini munaa ja olen nussittavana joka viikko. 	 0.082005575299263
