s24:47077c6866039a4f38dfa6d7d69c0524 	 severe_toxicity 	 kiihottaa vaan ne reunat:)))) Mikä on se hyödytön nahka läjä vitun ympärillä? Nainen! 	 0.42035454511642456
s24:9073ae16b54a831341edd92d03050dcd 	 not-severe_toxicity 	 Se että tuottaa toiselle sellaisen nautinnon että toinen suoraan sanoen räjähtää kolmanteen taivaaseen. Mä teen omalle naiselle kaiken nuolen, hieron, panen... Nainen saa muutaman orgasmin joka sessiossa. Arvatkaapa mitä minä saan; akka on vitun lahna, makaa vaan sängyssä ja minä teen kaikki työt, menee tunti joskus parikin tässä minun käsittelyssä. Ei ota akka multa suihin, hyvä jos kerran kuussa ottaa ees mulkun käteen. Mietinkin että tarttuuko tuo lahnatauti minuunkin. Vai heittäydynko lahnaksi. Olisi sääli pistää muuteen hyvää akkaa kiertoon... Ja tämä on muuten tosi juttu, siksi eksyinkin tänne palstalle, ja tunteet kuohahti pintaan... 	 0.039047181606292725
s24:8fd4b09429948c523b2fbd373143a09e 	 not-severe_toxicity 	 kaverin akka on iha älytön narsisti joka luulee olevansa maailman ihanin, kaunein ja paras? akka on huorannu,lesboillu ja järjestänyt ukkosa putkaan,hakannu,haukkunu fase bookissa työssä käyvää ukkoaan ja ite oo päivääkään tehny palkka työtä kun tukiaisilla elää nii makiasti niinku sukulaisensa!? helevetin surullista kattoo sivusta mut puhuminen ei auta,miten käy sitte ku mies herää todellisuuteen joku päivä ja tajuaa että hänen elämänsä on pilattu?! varmaan lehden nurkassa pieni otsikko: mies tappoi naisen perheriidan päätteksi.. 	 0.04654458537697792
s24:2370e415047ec280095a2c40bfef030e 	 not-severe_toxicity 	 Oikeasti kokoomuslainen nussi sinua perseeseen. Sinua kuten kaikkia Suomen kansalaisia eliittiä lukuunottamatta. Arhinmäki oli lyömässä tahtia. 	 0.36520886421203613
s24:a280d6b4d9468c5c315f8c307fcdc334 	 not-severe_toxicity 	 Miten homo voi hasta vitulle? Anteron logiikalla ilmeisesti voi :-) 	 0.3293665945529938
s24:4bab41175fe4fccc5fa165dfaf812d3e 	 not-severe_toxicity 	 Ikävöin tietenkin mut hän on kusipää!!!! 	 0.2651531994342804
s24:08e16419d71939adfb532d89d4b36510 	 not-severe_toxicity 	 Meinaatko hakata muijasi huonoonkin kuntoon? 	 0.00018280898802913725
s24:0f601d834406c3f47fc587714066847f 	 not-severe_toxicity 	 PERÄVETO! 	 0.00022319940035231411
s24:76adcb50367db07c409785a8cda894d1 	 not-severe_toxicity 	 Vittuakos se sulle urpolle kuuluu! 	 0.40113571286201477
s24:3ccd34106586463322dbed140eff6c43 	 not-severe_toxicity 	 Eniten vituttaa ostoskärryjä työntelevät ja niillä käytävät blokkaavat ämmät ja huutavat ympäriinsä juoksentelevat kakarat. 	 0.3726033866405487
s24:2488fbdc1207257eccda2e57dccf4d45 	 not-severe_toxicity 	 Mä taas otan AINA yhden kahvin konjamiinilla, kun olen minäkin siitä onnellinen että vihervassarisuvakkiämmien poppoot kuihutuvat olemattomiin ja persuilla menee niin vitun lujaa että saa lakistaan kiinni pitää. 	 0.020448630675673485
s24:e8f310dbf579a506092f644ed5cedfc6 	 not-severe_toxicity 	 Paskiaiset  Jumalauta että vihaan naapuriani. Luuseri oli aikaisemmin hirveä melukone mutta ei häädän pelossa uskalla enää kutsua murjuunsa vieraita. Tällä hetkellä ärsyttää eniten naapurin tupakointi. Jollakin tavalla aion vielä antaa takaisin samalla mitalla sillä olen kyllästynyt jatkuvaan kiusantekoon. 	 0.03143481910228729
s24:a71e1bc42f8b7a29a4ea0b11b10c6110 	 not-severe_toxicity 	 Haista sinä paska. Itte levität myrkkyä ympärilles :/ 	 0.29496118426322937
s24:0b09d7c15edb7280849ae235f52283c2 	 not-severe_toxicity 	 "kaivattiinko tällaista ""0e - turhuutta"" kommenttia? kysyttiin että _PALJOLLAKO_ ostat, ei ostatko vai ei!  ihan oikeasti HAISTA VITTU" 	 0.09584817290306091
