s24:0d6c5224b593123cb524302dc1a3eb0e 	 toxicity 	 Joko Haavisto ilmoitti erostaan?  Vaatiko myös yrmistelijä AKTIIVISTA KATUMISTA 	 0.003992629237473011
s24:1c6f4110a07f818fa915446ee9c1aac2 	 not-toxicity 	 Ptörä irti ja kiristät yhtä mutteria siellä vaijerin pyörän päässä. Helppoa kun mikä. 	 0.020423000678420067
s24:e8eabcef71378052be23ee45840d1219 	 toxicity 	 Tehtiinkö mustat kiiltävät saappaat ja nahkatakit homojen himoja ajatellen? Entä saiko miehistö olla normaaleja  Mikä on normaali? Äs-äs miehille oli ihan normaalia tuupata aseveliä poterossa ;) 	 0.22307336330413818
s24:9ae28becc29c91191768887434e8f325 	 not-toxicity 	 Mie saen toessapäevänä , entäpä saetko ite millon?  Se on tuo suantien kysely ihan ylleinen tapa , samalla kun kysellään muutkii kuulumiset.  Onhan sekkii ihan mukava kuulla ku joku on suanna vaekkee ite aena saesikkaa ja tosinpäen se kuulostaa vieläkkii paremmalta.  Kysyttäänhän aiena kalasta tulleeltakkii jotta saetko kalloo! 	 0.03125031292438507
s24:718773be6124b14cff3eebe0240df9d8 	 not-toxicity 	 ei tartte uskko kaikke mitä sanotaan!et ihmiset syö toisia!ja se vielä näytettäs telkkarissa 	 0.05179489403963089
s24:f62136fdabf8163b4fccf03769b27389 	 toxicity 	 Et ole ap ja omit random kommentin joka osoitettu aplle. Heikko itsetunto kun haukku noin tarttuu heti? 	 0.04971613734960556
s24:9c05478926a081808dc9e2f286306c0f 	 not-toxicity 	 karvaa. 	 0.010867033153772354
s24:25a9cd324797e83c5015fbb2be032dae 	 not-toxicity 	 Niin heillähän alkaa Suomen valloitus Lapista käsin! Suomen Turnee.Sulla nimimerkillä: nuorten elämää on yksitoikkoista kun sä seuraat muiden palstan kirjoittajien elämää. 	 0.0016934702871367335
s24:b847009c9d70cb5bb05aa7c08b1fc0a5 	 not-toxicity 	 en tiiä mikä on mutta 2 kertaa olen tankannut siitä ja aina sama homma, muualla ei ole niin käynyt. Voisiko olla, että asemalta ois bensa lopussa ja jotain p a s k a a tulis tankkiin... Vai mistähän osaisin lähtä syytä hakemaan... 	 0.0038363137282431126
s24:78afe85d6c66689c13f94f49635256a7 	 not-toxicity 	 sekavaksi.. ja jäädä arvoitukseksi..:) lähesty mua rohkeesti vaan , jään oottaan sitä.;) -minä mustatukka. 	 0.0024017891846597195
s24:88ec4b107ae83ab4726f3a5e9c139ec4 	 not-toxicity 	 Sulla! ei kuulu tälle työttömien ja potkut saaneiden palstalle, vaan ihan muualle. 	 0.008880377747118473
s24:3717676c12471bf2373de63d94ea1ef0 	 toxicity 	 Suomesta on viimeisen 100 vuoden aikana yli miljoona lähtenyt matuilemaan, paremman elämän toivossa.  Montako terrori-iskua tekivät? Kuinka monta kertaa valittivat että ilmainen ruoka on pahaa? Kuinka monta panttivankia ottivat vaatiessaan enemmän rahaa ja paremman täysihoidon? Montako suurkirkkoa vaativat muslimimaahan? Montako joukkoraiskausta ja ahdistelua tekivät? Oliko työttömyysprosentti 90%? 	 0.0020305030047893524
s24:a0dabcae7d8e6799bcd6974b50c977f0 	 not-toxicity 	 IKKUNASTA ULOS,KYLLÄ SIITÄKIN VIELÄ JOKU VERO MAKSETAAN! 	 0.15283045172691345
s24:510fdab67f26b86a83b875b32ad7c1ce 	 toxicity 	 Ökyjohtajien bonukset moninkertaistetaan!  Valtiovarainministerin logiikan mukaan ökyjohtajien palkkioiden miljoonakertaistaminen roiskii 5-senttisiä köyhien taskuihin. Viive saattaa olla joitain vuosia, mutta se ei _meidän_ pikkupoika-kataista haittaa. Eläähän hän veronmaksajien loisena. 	 0.0796399936079979
s24:f0a4fb36dd9c1fe3da5f6d6bab5dc5f8 	 not-toxicity 	 Laiskat ja kateelliset asialla, näin se menee.  Ainoastaan Hilkka Ahde on saanut hyvän tuloksen työpaikkakiusaamisen projektissa. Kaikille meille muille on kohtalona vaihtaa työpaikkaa, mielenterveyden menetys tai eläkkeelle.  Harmi kun meistä kiusatuista ei kukaan ole kiinnostunut. Johtuu paljolti siitä että yhteisön oh helpompi mennä vahvemman puolelle. Me jäämme aina yksin. Joka kiusaa päiväkodissa kiusaa koulussa ja jatkaa työelämässä. Luultavasti jopa vanhainkodissakin. 	 0.0241190567612648
s24:be7cd2384121306ea6b5189ec409dd4e 	 not-toxicity 	 Kyllä antti ja sitten tuo vasemmiston nainen ovat älykkäitä, sinilasinen mies ei tahdo pysyä mukana. 	 0.08429376780986786
s24:1a1486cfe53b4d53281b0f6018e685ef 	 not-toxicity 	 Meinasin autolla ajaa yhden mp:n kanssa yhteen. Tulin autolla kolmioriseykseen. Rajoitus 40km/h. Mp tuli kaukana vasemmalla. Näin sen. Rajoitusten sallimalla nopeudella olisin ehtinyt mennä parikin kertaa turvallisesti mp:tä ennen. Lähdin menemään, mutta pyörä tulikin tosi tuntuvaa ylinopeutta ja meinasi tulla kylkeen. Loppu hyvin kaikki hyvin, mutta tästä en ota täyttä syytä niskoilleni. Fifty-fifty! 	 0.0017479404341429472
s24:6658060b5190b7f55b89198716af8c24 	 not-toxicity 	 Taas tappouhkaus!Kukahan tässä oikein toimii kyseenalaisesti.Mitään järkevää tai asiallista ei ole tullu täältä suunnalta.Asioista pitäisii keskustella ilman tappoukauksia vaikka ideologiat ei ihan täsmäis.Tässäpä kuitenkin tuli se seuraava nikkari. 	 0.02466128207743168
s24:4e676222e0888d0c2b61bf6cc6e2983b 	 not-toxicity 	 Pahin tekoni oli joku niistä lukuisista kerroista kun kiusasin pikkuveljeäni. Olin niin typerä, että luulin vielä tuolloin että pahin tekoni olisi kun kirosin jumalaa vihainena taivaalle, pelkäsin että salama tappaa minut. Olin kai vihainen lapsi. 	 0.5735336542129517
s24:5dfedc2df1de58fcaa016c0a081b293e 	 not-toxicity 	 HEVOSIHMISET APUA!!!!!!  Eli siis omalla 12wee suokkiruunalla on semmonen tapa että ratsastaessa kentällä joko ravia tai laukkaa olympiakuolaimilla tai riimulla lähtee heppa usein kiitäää porttia kohden eikä pysähdy ei niin millään ennen porttia vaikka kaveri kuinka usuttaisi heppaa portilta matkoihinsa. Kertokaa mitä vain ideoita joita tulee mieleen, mutta apuohjat, raipat ja kannukset yms. hylätään heti kättelyssä. Heppa liikkuu paremmin ja tyytyväisemin riimulla ratsastaessa, kuin olympiakuolaimilla. Kuolaimettomat suiset hankinnassa. Ruuna on ex ravuri mutta toiminut ratsuna jo viitisen vuotta. Kauraa ei anneta herralle lainkaan. Heppa on muuten kiltti, rauhallinen ja yhteistyöhaluinen paitsi silloin kun on suitset päässä jolloin näykkii eikä anna koskea. Olisin kiitollinen pienestäkin vinkistä:) 	 0.00964084267616272
s24:4ea2d353bda69830657561d263867634 	 not-toxicity 	 NIELURISAT, AUTTAKAA PYYDÄN!!  minulla on propuja nielurisoissa ja tökin niitä tänää hammastikulla pois,tökkäsin vahingossa nielurisaan ja siintä tuli verta,APUA!meneekö sinne haavaan nyt joku bakteeri,että se tulehtuu,alkaa märkiä,tulee kurkkupaise,turpoa.......... auttakaa pyydän sydämmestäni,olen niin peloissani, että luulen jo kuolevani näin nuorena:(( minun äitinäitin isältä otettiin joskus aikoinaan kurkusta näyte ja hän sai jonkun bakteerin ja jotenkin halvaantui,vissiin sen takia,en ole kyllä aivan varma miten se meni, mutta jotenkin sinnepin,joten pelkään että minun haavaani menee joku bakteeri.tässä kirjoituksessani saattaa olla kirjoitus virheitä,koska olen ihan älyttömän peloissani. pitäiskö mennä lääkäriin??? 	 0.26012858748435974
s24:c49272e06480b2e411abc57c4410e6ba 	 not-toxicity 	 Otan osaa kurjaan tunteeseesi. Oletko kauan ollut huonossa kunnossa, tuliko se sairaus yhtäkkisesti vaikeana vai onko se edennyt pikkuhiljaa? Voimia sinulle. 	 0.003547174157574773
s24:0e6780cb5e50e9c75faffd6555006d2f 	 not-toxicity 	 Inhoan omaa vartaloani  Inhoan todella paljon vartaloani. Minua oksettaa olla näin kamalan hoikka 57kg ja 168cm. Rintani ovat onnettomat c 75 kokoa. Olen koittanut saada lisää painoa, mutta aina ne kertyvät vain makkaroiksi vatsaani. Tahtoisin olla paljon muodokkaampi ja naisellisempi vartaloltani. Haaveilen tiimalasi vartalosta. Kylkeni ja vatsani ovat liian suuret. Ainakin 5cm pitäisi saada pois. Tahtoisin saada lihaksekkaamman vartalon, jalat ja kädet. Ongelmani on, että ajattelen rumaa vartaloani kokoajan ja tahdon saada sen paremmaksi :( Aina kun aamulla herään ekana tulee mieleen miten ruma vartalo minulla on. Kaupungilla tulee vastaan seksikkäitä naisia jatkuvasti. Itse olen tämmöinen ruma luikku,en tiedä mitä tehdä asialle. En osaa hyväksyä itseäni, tahdon olla paljon nätimpi :( 	 0.31476375460624695
s24:b50d32fad372dee525045fc60ec434a4 	 not-toxicity 	 Ei tietenkään tarvitse, milläs lappoat hienoa hiekkaa kun se imeytyisi letkun mukana pois? Hiekka on niin tiivistä ettei sen sisälle mene kalankakkaa, ruuantähteitä ym. toisin kuin karkeaan soraan jonka sisälle painuu ties mitä sontaa... 	 0.0034573934972286224
s24:e552812d48fe910403dcc0e8ded21d62 	 not-toxicity 	 no mut tuohan on jo 240euroa, sillä saa monen monen monta matkaa tai reilu 2kk matka-aikaa, tyhmää säästöä! 	 0.7376021146774292
s24:fcefa3bbb31ae7c06657ee4edb2c4065 	 not-toxicity 	 kuin tuhkat tuuleen kun löydät oikean 	 0.021870514377951622
