s24:93f80594da51a9f8ed8b207ea9280fe2 	 not-threat 	 Nyt turpa kiinni homo^ saatana mitä perkeleen touhua vittu 	 0.11245229095220566
s24:8927521876175c91ffba812467c95a83 	 not-threat 	 Aasiaista naista  Tänään pääsee paneen pientä aasialaista naista 	 0.16135723888874054
s24:df24d2d1b47571c096a9c6157c379b0e 	 threat 	 eli varmasti jaskan ikäsenä vedän sen 200kg penkistä puhtailla;).  Vedätsä penkistä? kattokaa nyt pojua... se on 24v amisviiksi ja se VETÄÄ penkistä pari sataa? hahahah! ethän sää nössö heikko kynäniska tiedä edes mikä penkki on! Penkistä ei vedetä mitään vaan penkiltä NOSTETAAN !  sä olet apina.... tsps vai mikä puupää..lahden lässyttäjä.  V*ttu sä olet säälittävä tyhmä älykääpiö tiesitsä? tulee tänne avautumaan eikä saa paria markkaa.... tommonen 20v kirppu... hahahaha!  tuu lisää mussuttamaan taas niin isot miehet lyö sut jälleen lyttyyn :D:D:D  Kato neidit kattelee meikäläisiä.... sä et saa mitään :D:D sä olet LUUSERI JOKA EI PENKKAA 200KG..... moni on jo sun ikäisenäkin saanut sen pari markkaa roinalla... voi voi mikä onneton p*skapöksy sä olet. meikä sai muutamassa kk:ssa-...... v*tuttaako ? D;D;D;D  Hahahah! 	 0.13151273131370544
s24:6c560b62aba250d3ab1ece998636fc4c 	 not-threat 	 jos ei nuku koskaan, tulee pipi päähän. Huono juttu. :( 	 0.15586237609386444
s24:1df689003308df72ccf36d2140de1766 	 not-threat 	 mAkKARRONI SOLTTU  Maailman surkein solttu. 	 0.13621865212917328
s24:136ec2761dd8cd6fe7379b8c5d5e233f 	 not-threat 	 on hampaat mutta ei tuollaiset...........  ihan selvä pitbull terrieri  !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1 	 0.1254880726337433
s24:a8e24c96ed01234a7d6b8a7ce7e2b9c2 	 not-threat 	 Ihan oikein. Menkää muualle synnyttämään saatanan akat 	 0.10543378442525864
s24:aab24028eb972012eeee74c38a785fdc 	 not-threat 	 Fantasiasi on siis tulla homon raiskaamaksi? Mutta koska pelokkaan nörtti-homon kanssa joutuisit luultavasti vain itse viettelemään hänet ja jopa omin kätösin ohjaamaan hänen elimens pylly-reijällesi, fantasian toteuttajan pitäisi silloin olla ensimmäisenä kuvailemasi tyyppinen mies. Jykevä, lihaksikas ja miehekäs alfa-homo, joka maskuliinista itsevarmuutta puhkuen ottaa mies1985:n yllättäen ja rajusti takaa. 	 0.15633344650268555
s24:7b2ba58e493b9c6bd62733d06c4a18b4 	 not-threat 	 pitäähän kokkareiden laittomasti maahan tullut halpatyövoima saada rauhassa ensin kotoutua ja kurjistaa kantaväestöä entisestään..vittu mikä ylipäällikön irvikuva!.. kekkonen olisi jo toiminut kansalaisten etujen mukaisesti, eli laittanut armeijan liikekannalle ja ottanut rajat kontrolliin, ettei terroristit ym paskalössi lompsi ihan miten vaan suomeen ilman aitoja papereita. 	 0.1665157824754715
s24:5a56024b9910fef6fe99c9463c7c3934 	 not-threat 	 Luin viestisi! Elämä on moni mutkasta. vituttaa tollaset kaksnaamaset paskat ,en voi sietää kasinaamaisia pellejä jotka tahtoen tahtoo toiselle pahaa vaikka toinen olis kiunka kiltti toiselle ja ajattelee muita ennen itteään. En ole ikinä pettäny, mut minut on petetty joka suteessa joka mulla on ollu. Tää on yhtä nuoralla tanssimista joka päivä jo parikymmentä vuotta tai sanotaan kun on aamu, tuleeko ilta? Sulla on suku ja perhe Kait siellä on joku joka ottaa asiat tosissaan tai sit ei ilmeisesti ole? mun suku ei halua olla tekemisissä missään muussa muodossa kuin jos jollain on synttärit ja sit tulee olo et vittuuko toi tänne tulee? ps. olis kiva jutella joskus vaikka täällä mut tais olla tääkin jo liikaa että edes kommentoin? 	 0.17724674940109253
s24:c5018cd91fa4337d6c7599023d1857e3 	 threat 	 Kerrotaan mamusonneille, että suomenruotsalaisilta tyttäriltä saa, et ne suorastaan tyrkyttää. Nehän mamut tänne hommas. Nauttikkot nyt raiskauksistaan. Me muut hoidetaan raiskaajat taivaan porteille. 	 0.1272873729467392
s24:b587c557b17243c612a75fbd131a7394 	 not-threat 	 Kyllä se olisi mukava ja alistuva tunne joudua kävellä alasti metsässä ja ehkä tulla sidottua puuhuun kiinni ja saada piiskaa! 	 0.15396137535572052
s24:8a86e860ae040d943933f33275a6d9dc 	 not-threat 	 Naisasialooseri ja suomihuora=15 nussima ovat molemmat vitun idiootteja ATM:ä ja ällötyksiä. 	 0.1951519101858139
s24:2926aba2bd54377826d5a51186661617 	 not-threat 	 MIKSI ????????????????????????  mIKSI SE VAALEA SIILIPÄÄ TV TOIMITTAJA HUUSI NAAMA PUNAISENA KUN RABORTOI kÄÄRPPIEN SM KULTAMITALISTA oULUN rAKSILASTA ?? miKSI ? 	 0.1513955146074295
s24:2a8221358e9da5bbfb5b6d1dc5e2f206 	 not-threat 	 JOS ASIAKAS  Valittaa niin otan rahat ja käsken painua vittuun ravintolasta ! Eikä mitään asiaa takasi.kosto on vittumainen hhhahahahahah 	 0.10471700876951218
s24:24f7019628598a56bfb7f4599422bb78 	 not-threat 	 TUNGE VAARIS MUNA PERSEESEES JA UJELLA KU VITUN NOITAPILLI  SAATANAN SNIFFAILE AUNUSTA 	 0.1289186030626297
s24:09a14eda530267baf77620848696b44f 	 not-threat 	 NO OMPAS PORUKKA KIREENÄ?? EIKÖS JOKAISELLA OL OMAT MIELTYMYKSET..JOTKUT TYKKÄÄ ÄIDISTÄ JOTKUT MUMMUSTA...MIX AMADOA HAUKUTAAN..MUSTA IHAN JEES PAIKKA?? 	 0.19705058634281158
s24:aae2bc081bc86a373889c4cacbab6429 	 not-threat 	 Arvoisat naiset nyt seksiä antamaan mamuille ja vähän äkkiä 	 0.10051890462636948
s24:82790c2eeecdd86376ce46dcd56b0312 	 not-threat 	 OOTTE TE SUOMALAISET SITTEN TYPERIÄ ANTAKAA JARIN OLLA RAUHASSA MITÄ HELV...IÄ SE TEILLE KUULUU JA TÄÄLLÄ PUITTE JARIN OLEMISTA JA TEKEMISTÄ YM....???  JARIN ELÄMÄ EI KUULU TEILLE HÄN ON SANONUT SUORAAN MITÄ ON SANONUT JA SOU VAT ANTAKAA HÄNEN ELÄÄ OMAA ELÄMÄÄNSÄ JA ELÄKÄÄ TE OMAANNE!!! 	 0.11004967987537384
s24:ac31f08a33ca023f4477e622afb75eae 	 not-threat 	 SAMAA MIÄLTÄ!!! SITÄ PAITTI, ITTEHÄN SE ITTENSÄ TAPPOO, KU SAIRAALASTA OMIA AIKOJAAN KARKAS VASTOON SUASITUKSIA PÖSSYTTELEMÄÄN. PÄÄHÄN KOHORISTUNEET VAMMAT ON AINA VAKAVA PAIKKA JA NE TULEE TUTKIA JOK'IKINEN KERTA HUALELLA JA PIREMPÄÄN.  JOKU TÄS KEISSIS TEKI ISON ISON VIRHEEN PÄÄKOPAN TUTKINNAN OSALTA. TÄÄ HUUMEHÖRHÖ OLISI PITÄNY SITUA SÄNKYYNSÄ KIINNI, VIÄLÄ KU TIÄRETTIHI SEN VAKAVA RIIPPUVUUSSUHURE TAJUNTAA LAAJENTAVIHI AINEESII, NÄITÄ PUUPÄITÄ KU EI MIKÄÄ PIRÄTTELE, AINETTA O SAATAVA.  TURHA TUASTA DELAAMISESTA O SYYTTÄÄ POTKUN ANTAJAA, TUAHAN OLI PIÄNI HIPAASU, SYYTTÄKÄÄ HOITAJAPULAA JA SITÄ NOTTON AMMATTITAIROTOONTA LÄÄKINTÄHENKILÖKUNTAA SAIRAALOOS. 	 0.19777855277061462
s24:53d1690a6fc45b58b0cf171f4cdf2785 	 not-threat 	 ...pässi kukot kivväärillä ammut.No näkkööpähän peältähi päen ettei jänkä taetu jalan alla...Siinä sulle vittuiluo...heh heh! 	 0.14625400304794312
s24:bb1c074429c740861958707dff8b7b85 	 not-threat 	 jenkkipaskaa!!! hyi saatana! 	 0.1179659515619278
s24:e32228306fc3d48bb25f4c8e7b32e326 	 not-threat 	 TP47  JA KUOPIO VINKUU!!!! KALAKUKKO PERSEES!!! 	 0.19238658249378204
s24:87faa0a65d1608e4b482d393e1786a6e 	 not-threat 	 Vituttaako teitä epäsivistyneitä juntteja, kun ette saa enää kauniita tyttöjäkään? Me MaMut tulemme ja viemme duuninne ja muijanne, kun olemme niin viehättäviä! 	 0.19406525790691376
s24:c7325c93af45dd77f0c3375f3c4ca6b6 	 not-threat 	 ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! KOKOOMUS ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! KOKOOMUS ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! KOKOOMUS. ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! ANTEEKSI! 	 0.12230466306209564
s24:e04e435e22fd4d31ffee0bbe54e5f6e4 	 not-threat 	 Hyypiö!!!!  Hyypiö!!!!Hyypiö!!!!Hyypiö!!!! Valvo yösi. 🧟‍♂️ 	 0.16939568519592285
s24:3f3db43ce45c904b00491e3f6e2eae90 	 not-threat 	 MEILLÄ EI OLE MITÄÄN MUSTALAISLEIRIÄ! MUSTALAISET ELÄÄ PAREMMIN KUIN PAIKALLISET SUOMALAISET JA SE ON FAKTAA!!!!! 	 0.18749845027923584
s24:5afa2eccea54c31a1c95641c891681b3 	 not-threat 	 Ryssä on ryssä vaikka voissa paistaisi ja kuorruttaisi kermalla! 	 0.11532074213027954
s24:63f54875c84f8d70bbe2f06c66b9acaa 	 not-threat 	 Satua  häntä  Mitä halusit? Naidaanko? Mitä vittua? fasulle asti!!!!!!!!!!!!!!!!!!!!!!!!!!  Nussitaan nyt perkelevai.  Potero ja dynamiitti.. ? Oletko sä vapaa, koskaan ollutkaan?  Jostainhan se lähtee?! Jätä ja voit tulla elämään mikää hakee uusia tuulia. Tiedät! Vai et..... liian runollista. Sun takia sananohin yöhön koin, ja käsittämyyksin löin..... Enhän mä tunne ja jos voi tuntea niin tunsin.  Mitä teille heittäis... 	 0.17321805655956268
s24:be15f59db1025a05967a2cbd1c6ca890 	 not-threat 	 Onko se ämmä taas haukkunut suomalaisia. 	 0.12024080008268356
s24:38988375a7d04127c6298159e5a8f29d 	 not-threat 	 Paskanmarjat ja v...nposket! 	 0.17367075383663177
s24:7584e1d620c75c0337a1f48291aa6405 	 not-threat 	 666 ja pian sinulla on syöpä. 	 0.17759402096271515
s24:7791721f36203aeca097de60bda75fdd 	 not-threat 	 Suomalaiset on haukkunsa ansaineet. Valitsemalla kusipää politiikot johtoon, jotka ei ymmärrä talouden pidosta mitään ja harrastavat työvoimapulan torjuntaa tyhmillä alkuasukkailla afrikan peräkylistä. Työvoima olikin lähes loppu. Vain 300 000 reservissä, ja huononpaa ainesta politiikoista tarvittaissa toinen mokoma lisää. 	 0.1164197325706482
s24:ce580ac6200dcbc17304c1cd432cfc5d 	 not-threat 	 Mikä vitun tiikerit?! 	 0.1130242571234703
