s24:522b966ac9d7f6f5412ed103273ed4fe 	 not-threat 	 Tulevat kuolemaan ennen aikojaan... 	 0.7172924280166626
s24:287b1eb0bd8fad1163d0ed7fcd173466 	 not-threat 	 "HEI KAIKKI PALSTAN VAKIOT JA  NIIN AVIOVAIMOT, AVOVAIMOT, AVIOMIEHET, AVOMIEHET, POIKAKAVERIT, TYTTÖKAVERIT, YKKÖSET, KAKKOSET, KOLMOSET, NELOSET, VIITOSET, KUUTOSET, SEITSOSET, KAHDEKSAISET, YHDEKSÄISET JNE.... MYÖS KAIKKI MIEHET, JOTKA PETÄTTE JA KAIKKI NAISET JOTKA PETÄTTE. TE AIVAN KAIKKI JOTKA OLETTE JOLLAIN TAVALLA OSALLISIA NÄISSÄ PETOSKUVIOISSA.  -TEHKÄÄ MAAILMALLE PALVELUS, JA TAPPAKAA ITSENNE SAATANAN VAJAA-ÄLYISET ARVOTTOMAT PASKAKASAT!!!!! TE AIVAN KAIKKI!!!!!!!! OLETTE LOKAA JA POHJASAKKAA IHMISEN IRVIKUVIA AIVAN KAIKKI SIITÄ HUOLIMATTA MIHIN ""RYHMÄÄN"" PETOSKUVIOISSA KUULUTTE, SILLÄ KUKAAN ÄLYKÄS KUNNON IHMINEN EI SUOSTU OLEMAAN OSA TUOLLAISTA. MINÄ EN SÄÄLI TEISTÄ KETÄÄN, EIKÄ SÄÄLI KUKAAN MUUKAAN KUNNON IHMINEN. OLETTE NAURETTAVIA!!!!" 	 0.7863403558731079
s24:b59c4c807bd4037c9070c1f6c0969c37 	 not-threat 	 Olavin pässin painajainen  Varo vappua Olavin pässi! Kiveksesi maalataan! 	 0.7964732646942139
s24:2dd4f492429784713b977725b3a51db5 	 not-threat 	 "Iskeekö jumalasi sinut kuoliaaksi jos kirjoitat vitutuksen vitutukseksi? Eikö jumalasi osaa lukea sanaa jos kirjoitat sen eri tavalla hieman. Jumalasikin on siis tyhmä? Vittu että olet ääliö. Taidat olla palstan typerin trolli kautta aikojen. ""Jos en voi olla paras paremmuudessa, niin olen paras huonoimmuudessa"". Todistat kerta toisensa jälkeen lauseen todeksi. Vituttaahan se, kun ei pärjää muille edes Suomi24 - palstalla." 	 0.7364364862442017
s24:3f829d57f1c9bb9036ca267281b783be 	 not-threat 	 no kaadu sinä sitten ohuella paskallas kovaan asvalttiin ja kuole, ei mua haittaa.. 	 0.7891528606414795
s24:bc2b77191e3d173a63a955195e47b7f9 	 not-threat 	 jos kuolema tulis sinulle tänään ? miten sinulle tulis käymään? 	 0.711074709892273
s24:d5318a99eb5954b0a3e2f14dcbca3d08 	 not-threat 	 just noin että kaikki paskiaiset kuolis pois, mitä ne varkaat täällä yhteiskunnassa tekee, sanohan mitä?ei paskaakaan. 	 0.7179101705551147
s24:1aee9c5fad0ad79d2e38d79da916b862 	 not-threat 	 ei ole elämässään tehnyt muuta kuin puhunut paskaa ja valehdellut. se saatanan sika kuolis nälkään heti jos kansa ei olisi pakotettu ruokkimaan sitä.  hyi helvetti. 	 0.721802830696106
s24:7c128eb720de9497bbc2f22e537a46e7 	 not-threat 	 Pyytäisin mun poikaystävån meille. Ja mun huonees ois iso sänky ja tuoli ja sit mul ois sellanen kiree mini nahkahame ja kiree lyhyt nahkaliivi ja pinkit rintsikat ja pinkit stringit. Sit mul ois ruoska ja käsken sen mun kundikaverin riisuutuu tai muuten ruoskasen. Sit ku sil on vaa bogserit jalas laittaisin sen siihe tuoliin pinkeil käsiraudoil kiinni ja teippi suun etee. Sit nuolisisin sitä kaulasta hitaasti alaspäin sillee et mun käsi tulee siin mukana ja sit laittaisin käden sen palleille ja ottaisin bokserit hitaasti pois ja vetäisin sitä käteen ha ottaisin poskeen ja sitte menisin siihe päälle istuu ilman stringei märäl pillul ja heiluisisin siin sillee et sen kalu heiluis mukana sit laittaisin sen kalun mun pilluu ja alkaisin pomppii siin pääl ja vetäisin sen teipin pois sen suusta ja sit avaisin ne käsiraudat ja sit se alkais nuolee mun pilluu ja tällee se ois mun unelma. Mut ei oo poikkista ni ei 	 0.7913184762001038
s24:991601bdc36968449f1b2d88abe44ef4 	 threat 	 Pitäisi ampua vielä nuokin vikisijät. 	 0.7046298384666443
s24:a07be0de59218624e0d12ae506db748e 	 not-threat 	 suomalaisilta PERITÄÄN TAKAISIN KELANAPU PERITÄÄNKÖ MUILTA!!!!!!!!!!!  KAIKKI HÄDÄNALAISTEN APU ON MENNYT ÖVERIKSI ! annetaan kaikki kuukintaivaalta . riittää kun auttaa asunnon ja normaalit vaatteet ja ruuan.  suomalaiselle ei kyllä näinhulppeita oloja saa ikinä 	 0.7564573884010315
s24:31610cd96214a9d4f730a5f0aae2f993 	 not-threat 	 Sotaa!!!! Vitun vähäälyiset juntit!!! Ja ketä vastaan te luulette sotivaan? Vähälukuisia pakolaisia vastaan jotka ovat paeneet sortoa ja kuolemaa omasta kotimaasta??? Vittu kun olette rohkeita! 	 0.7819762229919434
s24:83778aa92ca4908643e8771dcb05d800 	 not-threat 	 Brasilialaiset ovat sitä mieltä, että kommunistit pitäisi tappaa. 	 0.7243103981018066
s24:75e5ec80d939199ed3e40c7fc01278fd 	 not-threat 	 Masennus lähtee kuolemalla. 	 0.7758527994155884
s24:e6c8e23f8a9ca4f897f6b0d4b1706f47 	 not-threat 	 ja merirosvot hirttämällä. 	 0.7211440801620483
s24:3391b84f6ee0266f9c563c23f1e7b16f 	 not-threat 	 "kuka vittu tämmöstä paska maata ees haluaa puolustaa? :D Intti o turhanpäivästä paskaa, jossa ""isot"" poijat luulee olevasa jtn! Hyvähän se on netti palstoilla isotella intin käyneillä, jotka sodan tullessa juoksin jonnekki karkuu!! saatanan tollot!! vihaksi käy tommoset! :D" 	 0.7024189829826355
s24:136e30404014afcf1b755047739665c8 	 threat 	 Käänsi selän, eikä sen jälkeen tehnyt elettäkään siihen suuntaan, että olisi mitään halunnut, tai yleensäkään ollut edes hereillä. Tuollaiselta pikkuapinalta pitäisi hirttää munat irti. 	 0.7533763647079468
s24:f281b5eb25f0f00de01aa60c781c1bab 	 not-threat 	 Sittenhän hulluhintit kuolevat, eivät ne pysty elättämään itseään ?  Mitä sitten ? 	 0.7881260514259338
s24:ed65aac1682c202877b12eb5ec7b21b9 	 not-threat 	 Voi Vittu Nainen. Ents jos sinua ei ookkaan seuraavana aamuna tekemäss puuroa lapsillesi ku olet aivokuollut. ??  Mies voi vajavaisuuttaan aiheuttaa sinulle vaiikka mitä. Hyväksytkö sen. 	 0.7481212019920349
s24:554596847925cde2da6173c6d84c0d92 	 not-threat 	 Voi herranjumala mies! ootko sä mies vai hiiri?!! sun pitää mennä sinne exäs luo, ja pistää se seinän ja sun väliin! sanot sille, et jumalauta, oikeudet ne on sullaki! ja alata tavata lastas! tai sit raastupaan niinku olis jo! sä oot babys biologine isä, sulla on OIKEUS (huom. ei velvollisuus) tavata lastas!! 	 0.7240473031997681
s24:23dff76c032d160523171b58d538c4f4 	 not-threat 	 Ei pidä pönkittääkkään. Riittää että saat ruokaa että et kuole nälkään! 	 0.7466931939125061
s24:5ff47a8763a379bd39217c11280e3c51 	 not-threat 	 Jos oma lapsesi tai muu läheisesi raiskattaisiin, olitko sitä mieltä että asiasta saa puhua. 	 0.796079158782959
s24:f18fadbc49e7812d619c58616f72915d 	 not-threat 	 Olen 180cm, 73kg tosi heikkovoimainen vanhempi ok näköinen ujohko mies, pelkään sitomista, piiskaamista ja en anna lähes ehtaa pikkuläpeäni, fetissini on, että ehkä risteilyllä olen vatsallani sängyssä ja domina painautuu päälleni, lannistaa vastusteluni, alistaa, läimäyttelee, ärsyttää ja pitää väkisin allaan ja sanoo, että nyt tottelet tai sidon ja nuoletan, piiskaan, kunnes tottelet, suutelet varpaitani ja panen pikkuläpesi. 	 0.7988849878311157
s24:c707d8168831b1b0bdbad9fce1301b3b 	 not-threat 	 KOHTA ALKAA KUULKAA RIKKAIDEN ALUIEDEN AITAUS.VARTIJA OVELLA?..PIRTTINIEMI (kävin juoksemassa ihan lenkillä)HELVETIN HIENOJA TALOJA AMERIKKALAISINE PARVIKKEINEEN...MUKA TÖITÄ TEHNEENÄ.VITUT.PERINEET ENSIN JOTAIN MAATILOJA JA METSIÄ,JA NYT TÄÄLLÄ ELVISTELLÄÄN... PAPERINPYÖRITTELY, TIETOKONEELLA VIISAANNÄKÖSENÄ ISTUMINEN JA RUPATTELU,EI OO TYÖTÄ !! 	 0.7203266620635986
s24:76eeac0c6780059a46e5ed3c434f99c8 	 not-threat 	 Minä olin anoppini lastenlasten äiti silti hän piti elämänsä loppuun asti hyllyssään mieheni ja ex-kihlattunsa kihlajaisvalokuvaa (naimisiin asti eivät koskaan menneet). Turha leinee mainita etten tullut anoppini takia toimeen ja nyt olen onnellinen kun tuo kiusaaja ja valheiden levittelijä on kuollut. 	 0.7527626752853394
s24:4782abaf417df8a14fdf02e7080643d3 	 not-threat 	 Ja nyt olen niin vittuuntunut että ammun kaikkia päähän  Olen iloinen, että olet ärsyyntynyt. Taidat aloittaa ammuskelun itsestäsi? 	 0.764307975769043
s24:f67a7761f7b4a37db11058813668b976 	 not-threat 	 Saastainen rivo ukko menee nyt vähäksi aikaa koisaan. te tiukkapipoiset pilluaan varjelevat akat älkää kirjoittako minulle. Sehän on syntistä ja saastaista hommaa josta joutuu helvetin tuleen. Joo jos saisi pillua tarttee tietysti olla rakastunut ja ynnä muuta mukavaa. Miksihän on sitten tehty oikein elokuviakin joissa vammaiselle miehelle ja naiselle jotka puutteesa elävät niin hoito löytyy ilotalosta! Herra varjele siitäkin voi joutua helvetin tuleen! 	 0.7677453756332397
s24:6cb697e6fa3fd44627270ba53f53f011 	 not-threat 	 "se Kristus vaikka perseeseesi. Ei Sinullekaan ole luvassa ""elämän jatkoa"". Yhdentekevä elämäsi päättyy yhdentekevään kuolemaasi." 	 0.7735339999198914
s24:9f87854a589ab6d57eee8cc889c0e693 	 not-threat 	 No voi vittu, kätellä ei saa, mutta joukkoahdistella ja raiskata kylläkin. Niin paskaa...................................................................  Viihtyisivät varmasti paremmin toisessa muslimimaassa, niin ei tarvitsisi täällä olla epäviihtymässä. 	 0.723728358745575
s24:29b9fa76c24be9dbbbef7e8021dd8ce7 	 not-threat 	 SELKÄÄN PUUKOTTAJAT; SAK/AY/SDP/DDR-STASI-HALONEN  Rinne, Homo-Paananen, Lindtman ym. Selkään puukotus tapahtuu siis takaapäin. Niin toimivat raukat ja rikolliset. 	 0.7121008634567261
