s24:2b9dd304ff5472703186c4699729b3dd 	 not-obscene 	 Eihän tuo ole enää ostamista kun halvimmillaan myyjä joutuu maksamaan että saa lähettää pöksyjä. 	 0.0006468940991908312
s24:75d3b49f2ba822b293180ebc9e97a1d5 	 not-obscene 	 En usko että kukaan asiaa puolusta on hakkaamassa PUITA, vaan risukkoa ! vesakkoa ! täysin joutavaa pajupensaikkoa !!! älä kommentoi, jos et ymmärrä mitä asialla tarkoitetaan. JUNTTI ! 	 0.7037780284881592
s24:d32db4e40db183d8cce03f3a9c33e2fe 	 obscene 	 Mikä epäilyksen siemen? Vieläpä suuri. Mitä paskaa sinäkin jauhat täällä? 	 0.7648999691009521
s24:21d5baddc082df3758a7b095b71c9928 	 not-obscene 	 niin ja lisäksi paljastit olevasi RAUKKA SINKKU 	 0.0032152647618204355
s24:e5630228171babd55266eb4cf6b1b9f1 	 obscene 	 hankalaa  Hitto oon niin ihastunut yhteen mieheen, joka on kaikin puolin täydellinen. Mutta en voi koskaan saada häntä. Sydän kipristelee, kun häntä ajattelen. Miksi ihastun aina niihin, jotka ovat varattuja tai muuten vaan ulottumattomissa, mutta perässä roikkuu muutama mies, joista en taas itse ole kiinnostunut :( 	 0.008608793839812279
s24:786ed080e5cfe846bb26c1818b2b7a95 	 obscene 	 Ei paskapaperullanvaihto 5 sekuntia voi maksaa 15 euroa. Sen pitää kuulua peruspakettiin ilman eri veloitusta. 	 0.20979656279087067
s24:5cf81d9ccb0a35f0cdfb03f5b2a5ec2e 	 obscene 	 Eikös se ole sanonta että tyhmällä on halvat huvit ?  Omaan tyhmyyteensä moni kompastuu ja helv4ettiin joutuu? 	 0.8562530279159546
s24:3fd83150a0ddd6a3df190cf5d6282a17 	 obscene 	 14cm ns tuppikulli esinahka tulee reilusti terskan päälle. 	 0.005320455878973007
s24:c2f3f8e68bc72dfb4bda96a92bf2d48a 	 obscene 	 Mul on käsitys et kovikset on kylmiä, joille muut ihmiset ja säännöt on yks paskan hailee.en tiiä ajattelenko väärin, mut must melkeen narsisti = kovis? 	 0.4778514802455902
s24:bbf95ca0b2aa30ef79f10f8aa0e61429 	 obscene 	 Miten niin epätoivoinen? Etkö koskaan puhu paskaa vieraiden ihmisten kanssa vaikka ravintolaillan aikana? Miksi et siis jonkun palstalaisen kanssa? Ai niin, olitkin nainen. Parin sanan vaihtaminen At-miehen kanssa on aivan mahdoton ajatuskin. 	 0.41333386301994324
s24:f1ab48cfb054f624ca1753109f706fa8 	 obscene 	 Helvetti vie ku täällä keskenkasvuusta porukkaa!!!!!!!! 	 0.5211748480796814
s24:a8a0459e0d11bff78f272e470934ca19 	 not-obscene 	 onko joku lyönyt turpaan komukka paavoa kun on tosi inhottavan näköinen turpa? http://www.mtv3.fi/u/REDACTED/a-perusasiat  en ihmettelisi vaikka joku olis mojauttanut. 	 0.07984494417905807
s24:0e971f27b7b27a98d178a5ff071303de 	 not-obscene 	 sinä itse olet h u o r a joka salli äijälle laittomat puuhat, heheehee varmaan ihan hauskaa, hehehhee sai pitää törkyturvan 	 0.14964169263839722
s24:fb09f3474dad25f60f6b6204d546c280 	 not-obscene 	 On akka (räsäskä alias räkäskä) onnistunut pääsemään idiotismin eturintamaan. 	 0.23341104388237
s24:fb09f3474dad25f60f6b6204d546c280 	 not-obscene 	 On akka (räsäskä alias räkäskä) onnistunut pääsemään idiotismin eturintamaan. 	 0.23341104388237
s24:c1f05471cfbc7854f134a80b1af41e22 	 not-obscene 	 Nainen on käärme! myös yksinkertainen ja tyhmä! 	 0.8377996683120728
s24:9da02f798f467518f88d7acb2980891e 	 obscene 	 Minä olen oikea pyh. Oikea pyhien pyh. Siis pyh pyh pyh. Jokainen ajatuksen on aitoa pyhiä, kuten koko kirkkomme joka on suurin pyh! Muut ovat paskaisia hurajuoppoja ja muiden jutut ovat paskapuhetta! Jos olet muka jokin pyh! niin rekisteröi nimimerkki mutta et voi koska minä olen oikea pyh!. 	 0.4887326955795288
s24:1cb3c626599982956166f2ad0d47bf1b 	 obscene 	 Halosen ja Palmen omaa rakasta mussukka porukkaa , josta ei saa sanoa pahaa. Saatanan demarit. 	 0.14722134172916412
s24:524aa7d6a995908b2c43a7415a71117e 	 not-obscene 	 Se ääliö vois kans opetella pilkkusäännöt, niitä ei ilmeisesti apukoulussa opetettu, liian vaativaa. 	 0.5643525123596191
s24:cd4a7456edd7909578819e3d307be0a3 	 not-obscene 	 HENRI ULOS KAAPISTA  onks joku muu samaa mieltä et on pikkasen hintukka..sauliki on enemmän mies tai se thaimaan tulianen 	 0.5344916582107544
s24:f8c00109b494926ab87ec9f587e72f04 	 obscene 	 onkin noiden värivikasten kanssa pas- kat housussa. Suomi vaan ei ole oppinut muiden virheistä näköjään mitään. 	 0.48425546288490295
s24:c626473ad7f73bf7ed65f7874773586c 	 obscene 	 "Et kai vain plagioinut ""paskapuhetta"" mistään lähiajan sanomisesta.  Sopii kyllä persuilijalle." 	 0.7309679985046387
s24:2daa2732845fbddc8aab8f4d3c8ae832 	 not-obscene 	 Mullapa tuli pupu pöksyyn :))  Mitähän mä nyt tähän lisäisin...hmm...tota, tota nuin, eiku näin...kiva painella tota piste näppäintä............ ... ja vielä kerran..... noin :))  Pitköshän mun soittaa sille valkoparralle ja peruu se lahja toivottu :)))))  Mullakin on punaset posket...nyt :D 	 0.0032947140280157328
s24:f30c6298dbc6a9235b79f5a43286b7ba 	 not-obscene 	 Mene ja käske äidin pestä suusi. Kerro että puhuit erittäin, erittäin rumasti kesk.saitilla. 	 0.9734492301940918
s24:e3d720bc9eb8dbf363f358b1b17f1674 	 obscene 	 oletko koskaan pessyt sitä siivilää, vai onko siinä paksu kerros kuivunutta paskaa päällä? 	 0.7912019491195679
s24:27ab2a8a916c5d274a68af8289a90b4f 	 obscene 	 Samaa tasoa palstahäirikön toistojen kanssa. Asiallisuus löytyy välittömästi, kun palsta palautuu keskustelupalstaksi, ja tällainen tojuton sikaulu ja paskanheitto loppuu. 	 0.26930364966392517
s24:f46a4a9d71183b43060db40fb4fd3ff6 	 not-obscene 	 1) puoli tuntia pitää antaa imeytyä ja sitte vasta kärsii esim. kammata ja muotoilla hiukset.pään kastelemista kannattaa välttää vähintään semmoset puoltoista tuntii.. hikoilulla ei juuri merkitystä oo. kärsii hikoilla sen puolituntisen jälkeen.  no mullakin sitä valuu aina otalta alas mut se pitää vaan hyvin hieroa päänahkaan nii ei valu.. mulle ei ihan se kuus painallusta riitä.. ite laitan yleensä jotain kaheksan painallusta vähintään ja näyttää hemmetin hyvin tehoavan.  ite kyllästän kyl ohimot ja koko etuhiuksistonkin.. ja koko tuo alue mihin oon laittanu nii on hiukset paksuuntunu ja hiusraja palautunu ennalleen.  itelläki nuita hiutaleita hieman etuhiuksistossa on.. ja niistä en osaa sanoa mitään..  jos vielä jotaki kysymyksii tulee mieleen nii kysy! 	 0.0021154244896024466
s24:c3a1992dc808f616cb9ba44d7008d12d 	 not-obscene 	 Seksihän parantaa kaiken. 	 0.18998630344867706
s24:9312bf231380d47dd89cb24d11ffb6b0 	 obscene 	 Macromedia inc FlashPlayer7  Miten v***ssa tuon saa pois koneelta. Suojausvaroitus mukamas. Ilmestyy lähes joka sivulle minkä aukaisen. En aio asentaa Playeriä. Olen estänyt RedSheriffin ja paljon muutakin. Siitäkö se johtuu. Mielestäni mulla on oikeus päättää mitä koneelleni päästä. Mikä esto vielä pitää laittaa. IE on. 	 0.6277638673782349
s24:c00d0ca2cc59de2d8f65ee59183762ce 	 not-obscene 	 haapamäellä se jasmin oli! keuruu on typerä kyläpahanen... 	 0.7169888019561768
s24:d419811a30a38008841c1923c16a831c 	 not-obscene 	 vie korjaamolle, ite et osaa, koska oot törppö! 	 0.19987007975578308
s24:8bb17d4a10ffa026477cf5a745daeccd 	 not-obscene 	 Harva EX on yhtä ääliö kuin tuo ESKO 	 0.5565962791442871
